,,,,,,,"Site local time offset from UTC (GMT) (hours)",,,,,,%,%,,,,,,,,,,,
id,usgsmuid,city,state,country,lat,lon," localtime offeset",gdd,firstkillingfrost,mat,map,masl,soilclay%,soilsand%,soil,zrt,zh2o,som,notes,soilnotes,created_at,updated_at,sitename,greenhouse,id
CA-Ca1,,,"British Columbia",CA,49.8672,-125.334,-8,,,,,300,2.63,84.42,"Loamy Sand",,,,ENF,,,,"Campbell River - Mature Forest Site (CA-Ca1)",FALSE,CA-Ca1
CA-Ca2,,,"British Columbia",CA,49.8705,-125.291,-8,,,,,300,2.15,83.3,"Loamy Sand",,,,ENF,,,,"Campbell River - Clearcut Site (CA-Ca2)",FALSE,CA-Ca2
CA-Ca3,,,"British Columbia",CA,49.5346,-124.9,-8,,,,,180,18.3,41.55,Loam,,,,ENF,,,,"Campbell River - Young Plantation Site (CA-Ca3)",FALSE,CA-Ca3
CA-Gro,,,Ontario,CA,48.2167,-82.1556,-5,,,,,300,10,65,"sandy loam",,,,MF,,,,"Groundhog River-Mat. Boreal Mixed Wood (CA-Gro)",FALSE,CA-Gro
CA-Let,,Lethbridge,,CA,49.7093,-112.94,-7,,,,,960,35.6,28.1,"Clay Loam",,,,GRA,,,,"Lethbridge (CA-Let)",FALSE,CA-Let
CA-Mer,,,Ontario,CA,45.4094,-75.5186,-5,,,,,70,27.92,34.12,"Clay Loam",,,,WET,,,,"Eastern Peatland- Mer Bleue (CA-Mer)",FALSE,CA-Mer
CA-NS1,,,Manitoba,CA,55.8792,-98.4839,-6,,,,,261,85.97,1.63,Clay,,,,ENF,,,,"UCI-1850 burn site (CA-NS1)",FALSE,CA-NS1
CA-NS2,,,Manitoba,CA,55.9058,-98.5247,-6,,,,,268,41.95,26.74,Clay,,,,ENF,,,,"UCI-1930 burn site (CA-NS2)",FALSE,CA-NS2
CA-NS3,,,Manitoba,CA,55.9117,-98.3822,-6,,,,,260,41.95,26.74,Clay,,,,ENF,,,,"UCI-1964 burn site (CA-NS3)",FALSE,CA-NS3
CA-NS4,,,Manitoba,CA,55.9117,-98.3822,-6,,,,,260,41.95,26.74,Clay,,,,ENF,,,,"UCI-1964 burn site wet (CA-NS4)",FALSE,CA-NS4
CA-NS5,,,Manitoba,CA,55.8631,-98.485,-6,,,,,265,41.95,26.74,Clay,,,,ENF,,,,"UCI-1981 burn site (CA-NS5)",FALSE,CA-NS5
CA-NS6,,,Manitoba,CA,55.9167,-98.9644,-6,,,,,276,41.95,26.74,Clay,,,,OSH,,,,"UCI-1989 burn site (CA-NS6)",FALSE,CA-NS6
CA-NS7,,,Manitoba,CA,56.6358,-99.9483,-6,,,,,273,37.19,34.06,"Clay Loam",,,,OSH,,,,"UCI-1998 burn site (CA-NS7)",FALSE,CA-NS7
CA-Oas,,,Saskatchewan,CA,53.6289,-106.198,-6,,,,,530,18.8,50.32,Loam,,,,DBF,,,,"BOREAS SSA Old Aspen (CA-Oas)",FALSE,CA-Oas
CA-Obs,,,Saskatchewan,CA,53.9872,-105.118,-6,,,,,629,4.12,80.89,"Loamy Sand",,,,ENF,,,,"BOREAS SSA Old Black Spruce (CA-Obs)",FALSE,CA-Obs
CA-Ojp,,,Saskatchewan,CA,53.9163,-104.692,-6,,,,,579,2.5,94.47,Sand,,,,ENF,,,,"BOREAS SSA Old Jack Pine (CA-Ojp)",FALSE,CA-Ojp
CA-Qfo,,,Quebec,CA,49.6925,-74.3421,-5,,,,,382,4,51.5,"sandy loam",,,,ENF,,,,"Quebec Mature Boreal Forest Site (CA-Qfo)",FALSE,CA-Qfo
CA-SJ1,,,Saskatchewan,CA,53.908,-104.656,-6,,,,,,3.5,92,Sand,,,,ENF,,,,"Sask.- 1994 Harv. Jack Pine (Ca-SJ1)",FALSE,CA-SJ1
CA-SJ2,,,Saskatchewan,CA,53.945,-104.649,-6,,,,,518,2,92,Sand,,,,ENF,,,,"Sask.- 2002 Harvested Jack Pine (CA-SJ2)",FALSE,CA-SJ2
CA-SJ3,,,Saskatchewan,CA,53.8758,-104.645,-6,,,,,,2.75,95,Sand,,,,ENF,,,,"Sask.- SSA 1975 Harv. Yng Jack Pine (Ca-SJ3)",FALSE,CA-SJ3
CA-TP1,,,Ontario,CA,42.6609,-80.5595,-5,,,,,190,0,98,Sand,,,,ENF,,,,"Turkey Point- Seedling White Pine (CA-TP1)",FALSE,CA-TP1
CA-TP2,,,Ontario,CA,42.7744,-80.4588,-5,,,,,230,0,98,Sand,,,,ENF,,,,"Turkey Point- Young White Pine (CA-TP2)",FALSE,CA-TP2
CA-TP3,,,Ontario,CA,42.7068,-80.3483,-5,,,,,219,0,98,Sand,,,,ENF,,,,"Turkey Point-Middle-aged White Pine (CA-TP3)",FALSE,CA-TP3
CA-TP4,,,Ontario,CA,42.7098,-80.3574,-5,,,,,219,0,98,Sand,,,,ENF,,,,"Turkey Point- Mature White Pine (CA-TP4)",FALSE,CA-TP4
US-ARM,,Lamont,OK,US,36.605,-97.4884,-6,,,,,311,43.1,27.98,Clay,,,,CRO,,,,"ARM Southern Great Plains site- Lamont (US-ARM)",FALSE,US-ARM
US-Blo,,,CA,US,38.8952,-120.633,-8,,,,,1315,25.01,50.43,"Sandy clay loam",,,,ENF,,,,"Blodgett Forest (US-Blo)",FALSE,US-Blo
US-Bo1,,Bondville,IL,US,40.0061,-88.2919,-6,,,,,217,31.23,28.91,"Clay Loam",,,,CRO,,,,"Bondville (US-Bo1)",FALSE,US-Bo1
US-Brw,,Barrow,AK,US,71.3225,-156.626,-9,,,,,4,23.42,44.61," Loam",,,,WET,,,,"Barrow (US-Brw)",FALSE,US-Brw
US-Dk2,,Durham,NC,US,35.9736,-79.1004,-5,,,,,163,21.62,54.43,"Sandy Clay Loam",,,,DBF,,,,"Duke Forest-hardwoods (US-Dk2)",FALSE,US-Dk2
US-Dk3,,Durham,NC,US,35.9782,-79.0942,-5,,,,,163,13.66,51.59,Loam,,,,ENF,,,,"Duke Forest - loblolly pine (US-Dk3)",FALSE,US-Dk3
US-FPe,,"Fort Peck",MT,US,48.3079,-105.101,-7,,,,,634,21.03,47.45,Loam,,,,GRA,,,,"Fort Peck (US-FPe)",FALSE,US-FPe
US-Ha1,,,MA,US,42.5378,-72.1715,-5,,,,,343,6,66,"Sandy Loam",,,,DBF,,,,"Harvard Forest EMS Tower/HFR1 (US-Ha1)",FALSE,US-Ha1
US-Ho1,,,ME,US,45.2041,-68.7403,-5,,,,,79,15.9,50.35,Loam,,,,ENF,,,,"Howland Forest- main tower (US-Ho1)",FALSE,US-Ho1
US-IB1,,Batavia,IL,US,41.8593,-88.2227,-6,,,,,225,37.2,7.8,"Silty Clay Loam",,,,CRO,,,,"Fermi National Accelerator Laboratory- Batavia-Agricultural site (US-IB1)",FALSE,US-IB1
US-IB2,,Batavia,IL,US,41.8406,-88.241,-6,,,,,226,34.8,12.18,"Silty Clay Loam",,,,GRA,,,,"Fermi National Accelerator Laboratory-Prairie site (US-IB2)",FALSE,US-IB2
US-Ivo,,Ivotuk,AK,US,68.4865,-155.75,-9,,,,,579,18.64,45.46,Loam,,,,WET,,,,"Ivotuk (US-IB2)",FALSE,US-Ivo
US-Me2,,Metolius,OR,US,44.4524,-121.557,-8,,,,,1310,7,67,"Sandy Loam",,,,ENF,,,,"Metolius-intermediate aged ponderosa pine (US-Me2)",FALSE,US-Me2
US-Me3,,Metolius,OR,US,44.3157,-121.608,-8,,,,,1005,0,80,"Loamy Sand",,,,ENF,,,,"Metolius-second young aged pine (US-Me3)",FALSE,US-Me3
US-Me4,,Metolius,OR,US,44.4992,-121.622,-8,,,,,915,10,66,"Sandy Loam",,,,ENF,,,,"Metolius-old aged ponderosa pine (Us-Me4)",FALSE,US-Me4
US-Me5,,Metolius,OR,US,44.4372,-121.567,-8,,,,,1188,6,66,"Sandy Loam",,,,ENF,,,,"Metolius-first young aged pine (US-Me5)",FALSE,US-Me5
US-MMS,,Martinsville,IN,US,39.3231,-86.4131,-5,,,,,275,63,34,Clay,,,,DBF,,,,"Morgan Monroe State Forest (US-MMS)",FALSE,US-MMS
US-MOz,,Ashland,MO,US,38.7441,-92.2,-6,,,,,219.4,24.68,46.38,Loam,,,,DBF,,,,"Missouri Ozark Site/BREA (US-MOz)",FALSE,US-MOz
