id,int(11),NO,
login,varchar(40),YES,login id
name,varchar(100),YES,User name
email,varchar(100),YES,email address
city,varchar(255),YES,
country,varchar(255),YES,
area,varchar(255),YES,
crypted_password,varchar(40),YES,
salt,varchar(40),YES,
created_at,datetime,YES,
updated_at,datetime,YES,
remember_token,varchar(40),YES,
remember_token_expires_at,datetime,YES,
access_level,int(11),YES,data to which user has access
page_access_level,int(11),YES,Determines the extent of data\, if any\, that user can edit.
apikey,varchar(255),YES,
state_prov,varchar(255),YES,
postal_code,varchar(255),YES,
USER,char(16),YES,
CURRENT_CONNECTIONS,bigint(20),NO,
TOTAL_CONNECTIONS,bigint(20),NO,
