yield_id,int(11),NO,
citation_id,int(11),YES,Citation in which data originally reported.
site_id,int(11),YES,Site at which crop was harvested.
site,varchar(255),YES,
lat,decimal(9\,6),YES,Latitude\, in decimal degrees
lon,decimal(9\,6),YES,Longitude\, in decimal degrees.
sp,varchar(255),YES,
author,varchar(255),YES,last name of first author
cityear,int(11),YES,year of publication
trt,varchar(255),YES,Name of treatment\, should be easy to associate with treatment name in original study.
date,date,YES,Date on which crop was harvested.
month,int(2),YES,
year,int(4),YES,
mean,decimal(16\,4),YES,Mean yield reported. 
n,int(11),YES,Number of replicates used to estimate mean and statistical summary.
statname,varchar(255),YES,Name of reported statistic.
stat,decimal(16\,4),YES,Value of reported statistic.
notes,text,YES,
user,varchar(100),YES,User name
checked,int(11),YES,accepts values [-1\, 0\, 1]. 0 is default\, and means that data have not been checked. 1 indicates that the data have been checked and are correct\, -1 indicates that data have been checked and found to be incorrect or suspicious\, e.g. outside of the acceptab
access_level,int(11),YES,Level of access required to view data.
user_id,int(11),YES,ID of user who entered data.
