STATEFP,STATE,County_FIPS,County_NAME,cornstover_cost
1,AL,1001,Autauga,211.175
1,AL,1003,Baldwin,129.089
1,AL,1005,Barbour,141.901
1,AL,1007,Bibb,0
1,AL,1009,Blount,153.446
1,AL,1011,Bullock,0
1,AL,1013,Butler,146.289
1,AL,1015,Calhoun,128.905
1,AL,1017,Chambers,0
1,AL,1019,Cherokee,133.971
1,AL,1021,Chilton,140.453
1,AL,1023,Choctaw,0
1,AL,1025,Clarke,0
1,AL,1027,Clay,0
1,AL,1029,Cleburne,0
1,AL,1031,Coffee,165.505
1,AL,1033,Colbert,124.018
1,AL,1035,Conecuh,158.862
1,AL,1037,Coosa,0
1,AL,1039,Covington,181.186
1,AL,1041,Crenshaw,0
1,AL,1043,Cullman,144.897
1,AL,1045,Dale,231.318
1,AL,1047,Dallas,137.565
1,AL,1049,DeKalb,124.872
1,AL,1051,Elmore,130.806
1,AL,1053,Escambia,137.333
1,AL,1055,Etowah,143.016
1,AL,1057,Fayette,134.918
1,AL,1059,Franklin,174.852
1,AL,1061,Geneva,172.662
1,AL,1063,Greene,194.996
1,AL,1065,Hale,138.073
1,AL,1067,Henry,145.942
1,AL,1069,Houston,152.166
1,AL,1071,Jackson,126.764
1,AL,1073,Jefferson,0
1,AL,1075,Lamar,160.916
1,AL,1077,Lauderdale,123.635
1,AL,1079,Lawrence,121.185
1,AL,1081,Lee,0
1,AL,1083,Limestone,128.048
1,AL,1085,Lowndes,0
1,AL,1087,Macon,142.079
1,AL,1089,Madison,122.344
1,AL,1091,Marengo,383.89
1,AL,1093,Marion,130.529
1,AL,1095,Marshall,130.316
1,AL,1097,Mobile,178.613
1,AL,1099,Monroe,181.925
1,AL,1101,Montgomery,152.637
1,AL,1103,Morgan,144.648
1,AL,1105,Perry,207.167
1,AL,1107,Pickens,0
1,AL,1109,Pike,158.613
1,AL,1111,Randolph,307.339
1,AL,1113,Russell,0
1,AL,1115,St. Clair,0
1,AL,1117,Shelby,231.044
1,AL,1119,Sumter,237.918
1,AL,1121,Talladega,130.282
1,AL,1123,Tallapoosa,122.4
1,AL,1125,Tuscaloosa,128.155
1,AL,1127,Walker,0
1,AL,1129,Washington,143.656
1,AL,1131,Wilcox,148.771
1,AL,1133,Winston,0
4,AZ,4001,Apache,0
4,AZ,4003,Cochise,128.894
4,AZ,4005,Coconino,0
4,AZ,4007,Gila,0
4,AZ,4009,Graham,126.719
4,AZ,4011,Greenlee,0
4,AZ,4012,La Paz,0
4,AZ,4013,Maricopa,2501.132
4,AZ,4015,Mohave,0
4,AZ,4017,Navajo,0
4,AZ,4019,Pima,0
