STATEFP,STATE,County_FIPS,County_NAME,cornstover_yield,miscanthus_yield,switchgrass_yield,energycane_yield,cornstover_cost,miscanthus_cost,switchgrass_cost,energycane_cost,least_cost_crop,least_cost_crop_id
1,AL,1001,Autauga,4.397,28.087243,15.711573,0,211.175,58.063,64.939,0,Miscanthus,3
1,AL,1003,Baldwin,5.956,30.760366,17.541727,45.66564,129.089,53.963,58.822,44.742,Energycane,5
1,AL,1005,Barbour,5.337,24.261185,15.084199,0,141.901,54.087,53.904,0,Switchgrass,4
1,AL,1007,Bibb,0,21.993568,16.547526,0,0,74.799,72.478,0,Switchgrass,4
1,AL,1009,Blount,7.124,21.121214,11.805854,0,153.446,63.273,69.518,0,Miscanthus,3
1,AL,1011,Bullock,0,21.517415,12.462122,0,0,76.14,87.871,0,Miscanthus,3
1,AL,1013,Butler,9.499,25.13819,15.481928,0,146.289,67.879,74.308,0,Miscanthus,3
1,AL,1015,Calhoun,5.497,22.433626,13.260868,0,128.905,62.293,66.551,0,Miscanthus,3
1,AL,1017,Chambers,0,19.526057,10.252285,0,0,64.156,72.472,0,Miscanthus,3
1,AL,1019,Cherokee,5.475,20.826611,13.028238,0,133.971,64.872,67.037,0,Miscanthus,3
1,AL,1021,Chilton,4.109,24.467986,14.055476,0,140.453,51.928,52.928,0,Miscanthus,3
1,AL,1023,Choctaw,0,24.717511,16.969643,0,0,70.726,72.901,0,Miscanthus,3
1,AL,1025,Clarke,0,23.103316,14.75465,0,0,74.313,80.537,0,Miscanthus,3
1,AL,1027,Clay,0,21.062006,12.408168,0,0,76.921,87.71,0,Miscanthus,3
1,AL,1029,Cleburne,0,23.522496,12.198502,0,0,75.764,95.698,0,Miscanthus,3
1,AL,1031,Coffee,5.539,24.946321,14.639938,0,165.505,49.854,49.494,0,Switchgrass,4
1,AL,1033,Colbert,6.628,25.684006,15.517989,0,124.018,50.075,49.498,0,Switchgrass,4
1,AL,1035,Conecuh,4.429,25.512416,16.83849,0,158.862,51.953,50.018,0,Switchgrass,4
1,AL,1037,Coosa,0,21.734366,12.342067,0,0,72.056,82.89,0,Miscanthus,3
1,AL,1039,Covington,4.355,26.935642,15.597858,0,181.186,50.155,51.148,0,Miscanthus,3
1,AL,1041,Crenshaw,0,25.030287,14.618949,0,0,74.015,86.104,0,Miscanthus,3
1,AL,1043,Cullman,5.102,22.113831,10.875062,0,144.897,57.238,65.29,0,Miscanthus,3
1,AL,1045,Dale,4.515,27.44192,15.791613,0,231.318,68.773,80.025,0,Miscanthus,3
1,AL,1047,Dallas,4.75,25.001087,13.801867,0,137.565,49.853,50.949,0,Miscanthus,3
1,AL,1049,DeKalb,5.369,22.105364,11.531746,0,124.872,63.673,73.951,0,Miscanthus,3
1,AL,1051,Elmore,5.465,22.003297,14.65532,0,130.806,52.892,49.412,0,Switchgrass,4
1,AL,1053,Escambia,5.337,27.853069,17.116713,41.705217,137.333,53.774,55.282,47.161,Energycane,5
1,AL,1055,Etowah,5.219,20.354607,11.514635,0,143.016,61.029,64.962,0,Miscanthus,3
1,AL,1057,Fayette,4.525,22.512128,11.985404,0,134.918,56.587,61.539,0,Miscanthus,3
1,AL,1059,Franklin,6.084,17.495,10.929582,0,174.852,58.5,55.547,0,Switchgrass,4
1,AL,1061,Geneva,5.358,28.826059,16.297215,38.408509,172.662,51.21,54.135,50.082,Energycane,5
1,AL,1063,Greene,4.509,21.271531,15.213065,0,194.996,74.734,74.396,0,Switchgrass,4
1,AL,1065,Hale,4.563,24.663685,13.848583,0,138.073,54.066,56.987,0,Miscanthus,3
1,AL,1067,Henry,5.262,26.418976,15.120677,0,145.942,52.518,54.852,0,Miscanthus,3
1,AL,1069,Houston,5.294,27.148728,15.821975,0,152.166,50.362,51.394,0,Miscanthus,3
1,AL,1071,Jackson,5.401,26.505894,15.147041,0,126.764,55.038,58.82,0,Miscanthus,3
1,AL,1073,Jefferson,0,20.666253,11.426323,0,0,77.299,92.016,0,Miscanthus,3
1,AL,1075,Lamar,4.99,22.785343,16.337091,0,160.916,51.58,46.574,0,Switchgrass,4
1,AL,1077,Lauderdale,6.062,25.441765,15.980022,0,123.635,56.45,57.478,0,Miscanthus,3
1,AL,1079,Lawrence,6.297,27.266511,15.620991,0,121.185,53.288,56.368,0,Miscanthus,3
1,AL,1081,Lee,0,21.110468,9.580831,0,0,59.021,71.141,0,Miscanthus,3
1,AL,1083,Limestone,6.66,28.314889,15.854759,0,128.048,53.308,57.507,0,Miscanthus,3
1,AL,1085,Lowndes,0,22.813025,14.339744,0,0,54.257,53.122,0,Switchgrass,4
1,AL,1087,Macon,6.457,20.683093,12.984825,0,142.079,66.147,68.591,0,Miscanthus,3
1,AL,1089,Madison,6.351,27.008872,16.303684,0,122.344,55.486,57.971,0,Miscanthus,3
1,AL,1091,Marengo,3.469,25.652201,15.754178,0,383.89,63.976,69.066,0,Miscanthus,3
1,AL,1093,Marion,5.203,20.319517,11.051875,0,130.529,65.17,73.174,0,Miscanthus,3
1,AL,1095,Marshall,5.038,22.620034,12.742806,0,130.316,57.598,61.278,0,Miscanthus,3
1,AL,1097,Mobile,5.71,28.922169,16.70125,43.186321,178.613,58.476,64.688,49.004,Energycane,5
1,AL,1099,Monroe,5.283,25.700517,16.244243,0,181.925,52.494,51.879,0,Switchgrass,4
1,AL,1101,Montgomery,5.71,26.036567,14.84956,0,152.637,52.478,54.72,0,Miscanthus,3
1,AL,1103,Morgan,5.401,25.349948,13.294705,0,144.648,54.436,60.105,0,Miscanthus,3
1,AL,1105,Perry,5.71,26.51314,13.928284,0,207.167,54.546,60.809,0,Miscanthus,3
1,AL,1107,Pickens,0,27.767301,16.473625,0,0,70.012,80.393,0,Miscanthus,3
1,AL,1109,Pike,4.899,21.419772,15.773918,0,158.613,53.466,47.647,0,Switchgrass,4
1,AL,1111,Randolph,2.935,21.084636,12.459479,0,307.339,79.145,90.857,0,Miscanthus,3
1,AL,1113,Russell,0,21.211143,14.219684,0,0,53.692,49.876,0,Switchgrass,4
1,AL,1115,St. Clair,0,21.045784,12.915699,0,0,84.948,96.79,0,Miscanthus,3
1,AL,1117,Shelby,5.337,20.54257,12.544898,0,231.044,77.019,85.359,0,Miscanthus,3
1,AL,1119,Sumter,3.309,24.997817,15.448404,0,237.918,65.429,70.588,0,Miscanthus,3
1,AL,1121,Talladega,5.561,22.434539,11.970224,0,130.282,62.478,71.144,0,Miscanthus,3
1,AL,1123,Tallapoosa,4.216,22.229766,13.511124,0,122.4,60.782,63.152,0,Miscanthus,3
1,AL,1125,Tuscaloosa,5.273,21.739491,16.321946,0,128.155,62.902,58.485,0,Switchgrass,4
1,AL,1127,Walker,0,22.157056,11.742575,0,0,76.884,95.218,0,Miscanthus,3
1,AL,1129,Washington,4.846,23.912666,17.225263,0,143.656,54.383,50.413,0,Switchgrass,4
1,AL,1131,Wilcox,5.07,25.970048,15.412475,0,148.771,51.606,52.307,0,Miscanthus,3
1,AL,1133,Winston,0,22.230291,11.892065,0,0,75.098,91.688,0,Miscanthus,3
4,AZ,4001,Apache,0,0.036292,1.740744,0,0,0,0,0,No Crop,0
4,AZ,4003,Cochise,9.887,0.045426,0.535567,0,128.894,0,0,0,Corn Stover,2
4,AZ,4005,Coconino,0,0.030758,1.146077,0,0,0,0,0,No Crop,0
4,AZ,4007,Gila,0,0.023464,1.577387,0,0,0,0,0,No Crop,0
4,AZ,4009,Graham,10.273,0.022829,0.707291,0,126.719,0,0,0,Corn Stover,2
4,AZ,4011,Greenlee,0,0.021255,1.24633,0,0,0,0,0,No Crop,0
4,AZ,4012,La Paz,0,0.018811,0.011381,0,0,0,0,0,No Crop,0
4,AZ,4013,Maricopa,10.128,0.019471,0.20374,0,2501.132,0,0,0,Corn Stover,2
4,AZ,4015,Mohave,0,0.019616,0.476561,0,0,0,0,0,No Crop,0
4,AZ,4017,Navajo,0,0.039458,0.834365,0,0,0,0,0,No Crop,0
4,AZ,4019,Pima,0,0.030918,0.35262,0,0,0,0,0,No Crop,0
4,AZ,4021,Pinal,10.085,0.035619,0.507921,0,846.81,0,0,0,Corn Stover,2
4,AZ,4023,Santa Cruz,0,0.253783,2.394905,0,0,0,0,0,No Crop,0
4,AZ,4025,Yavapai,0,0.038222,1.612471,0,0,0,0,0,No Crop,0
4,AZ,4027,Yuma,10.206,0.018724,0.008333,0,130.968,0,0,0,Corn Stover,2
5,AR,5001,Arkansas,9.606,28.783904,16.248469,0,113.223,58.182,60.087,0,Corn Stover,2
5,AR,5003,Ashley,7.805,28.371538,16.027265,0,121.192,55.231,55.259,0,Corn Stover,2
5,AR,5005,Baxter,0,19.930243,11.626766,0,0,79.366,85.134,0,Miscanthus,3
5,AR,5007,Benton,0,27.219417,12.332221,0,0,66.143,81.979,0,Miscanthus,3
5,AR,5009,Boone,0,12.290442,11.587911,0,0,110.058,85.319,0,Switchgrass,4
5,AR,5011,Bradley,0,28.193263,15.782565,0,0,64.895,70.614,0,Miscanthus,3
