STATEFP,STATE,County_FIPS,County_NAME,miscanthus_cost
1,AL,1001,Autauga,58.063
1,AL,1003,Baldwin,53.963
1,AL,1005,Barbour,54.087
1,AL,1007,Bibb,74.799
1,AL,1009,Blount,63.273
1,AL,1011,Bullock,76.14
1,AL,1013,Butler,67.879
1,AL,1015,Calhoun,62.293
1,AL,1017,Chambers,64.156
1,AL,1019,Cherokee,64.872
1,AL,1021,Chilton,51.928
1,AL,1023,Choctaw,70.726
1,AL,1025,Clarke,74.313
1,AL,1027,Clay,76.921
1,AL,1029,Cleburne,75.764
1,AL,1031,Coffee,49.854
1,AL,1033,Colbert,50.075
1,AL,1035,Conecuh,51.953
1,AL,1037,Coosa,72.056
1,AL,1039,Covington,50.155
1,AL,1041,Crenshaw,74.015
1,AL,1043,Cullman,57.238
1,AL,1045,Dale,68.773
1,AL,1047,Dallas,49.853
1,AL,1049,DeKalb,63.673
1,AL,1051,Elmore,52.892
1,AL,1053,Escambia,53.774
1,AL,1055,Etowah,61.029
1,AL,1057,Fayette,56.587
1,AL,1059,Franklin,58.5
1,AL,1061,Geneva,51.21
1,AL,1063,Greene,74.734
1,AL,1065,Hale,54.066
1,AL,1067,Henry,52.518
1,AL,1069,Houston,50.362
1,AL,1071,Jackson,55.038
1,AL,1073,Jefferson,77.299
1,AL,1075,Lamar,51.58
1,AL,1077,Lauderdale,56.45
1,AL,1079,Lawrence,53.288
1,AL,1081,Lee,59.021
1,AL,1083,Limestone,53.308
1,AL,1085,Lowndes,54.257
1,AL,1087,Macon,66.147
1,AL,1089,Madison,55.486
1,AL,1091,Marengo,63.976
1,AL,1093,Marion,65.17
1,AL,1095,Marshall,57.598
1,AL,1097,Mobile,58.476
1,AL,1099,Monroe,52.494
1,AL,1101,Montgomery,52.478
1,AL,1103,Morgan,54.436
1,AL,1105,Perry,54.546
1,AL,1107,Pickens,70.012
1,AL,1109,Pike,53.466
1,AL,1111,Randolph,79.145
1,AL,1113,Russell,53.692
1,AL,1115,St. Clair,84.948
1,AL,1117,Shelby,77.019
1,AL,1119,Sumter,65.429
1,AL,1121,Talladega,62.478
1,AL,1123,Tallapoosa,60.782
1,AL,1125,Tuscaloosa,62.902
1,AL,1127,Walker,76.884
1,AL,1129,Washington,54.383
1,AL,1131,Wilcox,51.606
1,AL,1133,Winston,75.098
4,AZ,4001,Apache,0
4,AZ,4003,Cochise,0
4,AZ,4005,Coconino,0
4,AZ,4007,Gila,0
4,AZ,4009,Graham,0
4,AZ,4011,Greenlee,0
4,AZ,4012,La Paz,0
4,AZ,4013,Maricopa,0
4,AZ,4015,Mohave,0
4,AZ,4017,Navajo,0
4,AZ,4019,Pima,0
4,AZ,4021,Pinal,0
4,AZ,4023,Santa Cruz,0
4,AZ,4025,Yavapai,0
4,AZ,4027,Yuma,0
5,AR,5001,Arkansas,58.182
5,AR,5003,Ashley,55.231
5,AR,5005,Baxter,79.366
5,AR,5007,Benton,66.143
5,AR,5009,Boone,110.058
5,AR,5011,Bradley,64.895
5,AR,5013,Calhoun,64.758
5,AR,5015,Carroll,75.153
