STATEFP,STATE,County_FIPS,County_NAME,switchgrass_cost
1,AL,1001,Autauga,64.939
1,AL,1003,Baldwin,58.822
1,AL,1005,Barbour,53.904
1,AL,1007,Bibb,72.478
1,AL,1009,Blount,69.518
1,AL,1011,Bullock,87.871
1,AL,1013,Butler,74.308
1,AL,1015,Calhoun,66.551
1,AL,1017,Chambers,72.472
1,AL,1019,Cherokee,67.037
1,AL,1021,Chilton,52.928
1,AL,1023,Choctaw,72.901
1,AL,1025,Clarke,80.537
1,AL,1027,Clay,87.71
1,AL,1029,Cleburne,95.698
1,AL,1031,Coffee,49.494
1,AL,1033,Colbert,49.498
1,AL,1035,Conecuh,50.018
1,AL,1037,Coosa,82.89
1,AL,1039,Covington,51.148
1,AL,1041,Crenshaw,86.104
1,AL,1043,Cullman,65.29
1,AL,1045,Dale,80.025
1,AL,1047,Dallas,50.949
1,AL,1049,DeKalb,73.951
1,AL,1051,Elmore,49.412
1,AL,1053,Escambia,55.282
1,AL,1055,Etowah,64.962
1,AL,1057,Fayette,61.539
1,AL,1059,Franklin,55.547
1,AL,1061,Geneva,54.135
1,AL,1063,Greene,74.396
1,AL,1065,Hale,56.987
1,AL,1067,Henry,54.852
1,AL,1069,Houston,51.394
1,AL,1071,Jackson,58.82
1,AL,1073,Jefferson,92.016
1,AL,1075,Lamar,46.574
1,AL,1077,Lauderdale,57.478
1,AL,1079,Lawrence,56.368
1,AL,1081,Lee,71.141
1,AL,1083,Limestone,57.507
1,AL,1085,Lowndes,53.122
1,AL,1087,Macon,68.591
1,AL,1089,Madison,57.971
1,AL,1091,Marengo,69.066
1,AL,1093,Marion,73.174
1,AL,1095,Marshall,61.278
1,AL,1097,Mobile,64.688
1,AL,1099,Monroe,51.879
1,AL,1101,Montgomery,54.72
1,AL,1103,Morgan,60.105
1,AL,1105,Perry,60.809
1,AL,1107,Pickens,80.393
1,AL,1109,Pike,47.647
1,AL,1111,Randolph,90.857
1,AL,1113,Russell,49.876
1,AL,1115,St. Clair,96.79
1,AL,1117,Shelby,85.359
1,AL,1119,Sumter,70.588
1,AL,1121,Talladega,71.144
1,AL,1123,Tallapoosa,63.152
1,AL,1125,Tuscaloosa,58.485
1,AL,1127,Walker,95.218
1,AL,1129,Washington,50.413
1,AL,1131,Wilcox,52.307
1,AL,1133,Winston,91.688
4,AZ,4001,Apache,0
4,AZ,4003,Cochise,0
4,AZ,4005,Coconino,0
4,AZ,4007,Gila,0
4,AZ,4009,Graham,0
4,AZ,4011,Greenlee,0
4,AZ,4012,La Paz,0
4,AZ,4013,Maricopa,0
4,AZ,4015,Mohave,0
4,AZ,4017,Navajo,0
4,AZ,4019,Pima,0
4,AZ,4021,Pinal,0
4,AZ,4023,Santa Cruz,0
4,AZ,4025,Yavapai,0
4,AZ,4027,Yuma,0
5,AR,5001,Arkansas,60.087
5,AR,5003,Ashley,55.259
5,AR,5005,Baxter,85.134
5,AR,5007,Benton,81.979
5,AR,5009,Boone,85.319
5,AR,5011,Bradley,70.614
5,AR,5013,Calhoun,70.358
5,AR,5015,Carroll,80.994
5,AR,5017,Chicot,51.324
5,AR,5019,Clark,63.195
5,AR,5021,Clay,50.594
5,AR,5023,Cleburne,86.996
5,AR,5025,Cleveland,70.615
5,AR,5027,Columbia,75.123
5,AR,5029,Conway,51.269
5,AR,5031,Craighead,61.152
5,AR,5033,Crawford,47.35
5,AR,5035,Crittenden,48.967
5,AR,5037,Cross,57.796
5,AR,5039,Dallas,69.764
5,AR,5041,Desha,46.026
5,AR,5043,Drew,54.866
5,AR,5045,Faulkner,50.44
5,AR,5047,Franklin,77.525
5,AR,5049,Fulton,74.56
5,AR,5051,Garland,79.421
5,AR,5053,Grant,70.076
5,AR,5055,Greene,47.971
5,AR,5057,Hempstead,70.901
5,AR,5059,Hot Spring,68.358
5,AR,5061,Howard,73.918
5,AR,5063,Independence,57.198
5,AR,5065,Izard,83.53
5,AR,5067,Jackson,52.887
5,AR,5069,Jefferson,55.123
5,AR,5071,Johnson,57.778
5,AR,5073,Lafayette,50.02
5,AR,5075,Lawrence,66.12
5,AR,5077,Lee,51.285
5,AR,5079,Lincoln,52.026
5,AR,5081,Little River,61.532
5,AR,5083,Logan,56.198
5,AR,5085,Lonoke,55.477
5,AR,5087,Madison,81.259
5,AR,5089,Marion,76.528
5,AR,5091,Miller,45.565
5,AR,5093,Mississippi,53.973
5,AR,5095,Monroe,58.548
5,AR,5097,Montgomery,77.602
5,AR,5099,Nevada,71.068
5,AR,5101,Newton,79.474
5,AR,5103,Ouachita,70.842
5,AR,5105,Perry,79.16
5,AR,5107,Phillips,57.303
5,AR,5109,Pike,73.143
5,AR,5111,Poinsett,57.709
5,AR,5113,Polk,76.659
5,AR,5115,Pope,55.899
5,AR,5117,Prairie,58.718
5,AR,5119,Pulaski,56.77
5,AR,5121,Randolph,62.446
5,AR,5123,St. Francis,48.694
5,AR,5125,Saline,80.991
5,AR,5127,Scott,79.045
5,AR,5129,Searcy,76.417
5,AR,5131,Sebastian,60.642
5,AR,5133,Sevier,69.613
5,AR,5135,Sharp,85.936
5,AR,5137,Stone,83.49
5,AR,5139,Union,70.95
5,AR,5141,Van Buren,82.499
5,AR,5143,Washington,80.938
5,AR,5145,White,53.629
5,AR,5147,Woodruff,54.087
5,AR,5149,Yell,52.213
6,CA,6001,Alameda,0
6,CA,6003,Alpine,0
6,CA,6005,Amador,0
6,CA,6007,Butte,0
6,CA,6009,Calaveras,0
6,CA,6011,Colusa,0
6,CA,6013,Contra Costa,0
6,CA,6015,Del Norte,0
6,CA,6017,El Dorado,0
6,CA,6019,Fresno,0
6,CA,6021,Glenn,0
6,CA,6023,Humboldt,0
6,CA,6025,Imperial,0
6,CA,6027,Inyo,0
6,CA,6029,Kern,0
6,CA,6031,Kings,0
6,CA,6033,Lake,0
6,CA,6035,Lassen,0
6,CA,6037,Los Angeles,0
6,CA,6039,Madera,0
6,CA,6041,Marin,0
6,CA,6043,Mariposa,0
6,CA,6045,Mendocino,0
6,CA,6047,Merced,0
6,CA,6049,Modoc,0
6,CA,6051,Mono,0
6,CA,6053,Monterey,0
6,CA,6055,Napa,0
6,CA,6057,Nevada,0
6,CA,6059,Orange,0
6,CA,6061,Placer,0
6,CA,6063,Plumas,0
6,CA,6065,Riverside,0
6,CA,6067,Sacramento,0
6,CA,6069,San Benito,0
6,CA,6071,San Bernardino,0
6,CA,6073,San Diego,0
6,CA,6075,San Francisco,0
6,CA,6077,San Joaquin,0
6,CA,6079,San Luis Obispo,0
6,CA,6081,San Mateo,0
6,CA,6083,Santa Barbara,0
6,CA,6085,Santa Clara,0
6,CA,6087,Santa Cruz,0
6,CA,6089,Shasta,0
6,CA,6091,Sierra,0
6,CA,6093,Siskiyou,0
6,CA,6095,Solano,0
6,CA,6097,Sonoma,0
6,CA,6099,Stanislaus,0
6,CA,6101,Sutter,0
6,CA,6103,Tehama,0
6,CA,6105,Trinity,0
6,CA,6107,Tulare,0
6,CA,6109,Tuolumne,0
6,CA,6111,Ventura,0
