# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, Andrew Leakey, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
lat,lon,salix_yield
38.96,-123.56,4.00
39.24,-123.64,9.55
39.52,-123.72,9.65
39.80,-123.80,6.65
40.36,-123.97,8.36
40.64,-124.06,8.26
38.74,-123.12,4.15
39.02,-123.20,3.84
39.30,-123.28,5.46
39.58,-123.36,2.17
39.87,-123.44,5.08
40.15,-123.52,5.52
40.43,-123.60,5.59
40.71,-123.69,6.55
40.99,-123.77,6.70
41.27,-123.86,8.77
42.12,-124.12,10.02
42.40,-124.21,11.35
42.96,-124.39,13.61
37.96,-122.53,5.45
38.24,-122.61,8.76
38.52,-122.68,1.56
38.80,-122.76,1.48
39.08,-122.84,7.79
39.37,-122.91,4.85
39.65,-122.99,2.65
39.93,-123.07,4.09
40.21,-123.15,5.22
40.49,-123.23,3.06
40.77,-123.32,3.45
41.05,-123.40,3.69
41.33,-123.48,3.61
41.62,-123.57,5.27
41.90,-123.65,3.05
42.18,-123.74,6.03
42.46,-123.83,6.97
42.75,-123.91,7.01
43.03,-124.00,9.63
43.31,-124.09,11.83
37.18,-121.96,2.10
37.46,-122.03,1.66
37.74,-122.10,1.84
38.02,-122.18,3.25
38.30,-122.25,4.85
38.58,-122.32,0.94
38.86,-122.40,1.86
39.14,-122.47,1.37
39.43,-122.55,0.96
39.71,-122.63,2.10
39.99,-122.71,1.74
40.27,-122.78,2.08
40.55,-122.86,3.56
40.83,-122.94,2.29
41.11,-123.03,2.06
41.40,-123.11,3.42
41.68,-123.19,2.64
41.96,-123.27,4.81
42.24,-123.36,5.76
42.53,-123.44,6.37
42.81,-123.53,6.84
43.09,-123.62,8.86
43.37,-123.70,11.16
43.66,-123.79,12.99
43.94,-123.88,10.07
44.22,-123.97,12.73
35.84,-121.27,1.95
36.12,-121.34,1.03
36.40,-121.40,0.74
36.68,-121.47,1.03
36.96,-121.54,5.94
37.24,-121.61,1.33
37.52,-121.68,1.00
37.80,-121.75,4.37
38.08,-121.82,2.79
38.36,-121.89,4.14
38.64,-121.96,5.75
38.92,-122.04,5.28
39.20,-122.11,2.25
39.48,-122.19,4.00
39.77,-122.26,5.68
40.05,-122.34,3.37
40.33,-122.42,4.95
40.61,-122.49,3.57
40.89,-122.57,3.59
41.18,-122.65,4.67
41.46,-122.73,3.48
41.74,-122.81,2.03
42.02,-122.89,4.08
42.31,-122.98,7.91
42.59,-123.06,6.47
42.87,-123.14,8.79
43.16,-123.23,7.78
43.44,-123.31,9.62
43.72,-123.40,9.35
44.00,-123.49,11.52
44.29,-123.58,12.54
44.57,-123.67,9.70
44.86,-123.76,11.61
45.14,-123.85,15.94
35.62,-120.86,1.22
35.90,-120.92,3.15
36.17,-120.99,1.53
36.45,-121.06,2.07
36.73,-121.12,0.62
37.01,-121.19,0.77
37.29,-121.26,0.51
37.57,-121.33,1.87
37.85,-121.39,1.77
38.13,-121.46,3.53
38.42,-121.53,4.37
38.70,-121.60,5.69
38.98,-121.68,2.72
39.26,-121.75,1.23
39.54,-121.82,4.21
39.82,-121.90,1.59
40.11,-121.97,2.15
40.39,-122.05,2.25
40.67,-122.12,2.86
40.95,-122.20,6.03
41.23,-122.28,7.21
41.52,-122.35,1.74
41.80,-122.43,3.46
42.08,-122.51,4.21
42.37,-122.59,5.92
