OBJECTID,Join_Count,TARGET_FID,NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,Loc,Lat,Lon,sgYield
1,1,0,Lake of the Woods,Minnesota,27,77,27077,7380,48.445571,-94.853668,0.03444
2,1,1,Ferry,Washington,53,19,53019,1980,48.490807,-118.722402,0.763262
3,1,2,Stevens,Washington,53,65,53065,2178,48.001002,-117.724882,1.301731
4,1,3,Okanogan,Washington,53,47,53047,1782,48.971721,-119.739672,0.001215
5,1,4,Pend Oreille,Washington,53,51,53051,2381,48.948818,-117.035621,0.667588
6,1,5,Boundary,Idaho,16,21,16021,2481,48.987013,-116.594819,0.576108
7,1,6,Lincoln,Montana,30,53,30053,2579,48.444096,-116.045932,0.457005
8,1,7,Flathead,Montana,30,29,30029,3176,47.75259,-113.304017,0.073665
9,1,8,Glacier,Montana,30,35,30035,3178,48.334021,-113.377927,0.056217
10,1,9,Toole,Montana,30,101,30101,3578,48.419811,-111.625308,0.631118
11,1,10,Liberty,Montana,30,51,30051,3678,48.436991,-111.18629,0.119638
12,1,11,Hill,Montana,30,41,30041,3778,48.452461,-110.746979,0.330591
13,1,12,Sheridan,Montana,30,91,30091,5079,48.789141,-105.01163,0.046677
14,1,13,Divide,North Dakota,38,23,38023,5379,48.758098,-103.683833,0.595609
15,1,14,Burke,North Dakota,38,13,38013,5579,48.728778,-102.799774,0.252214
16,1,15,Renville,North Dakota,38,75,38075,5780,48.983771,-101.886663,0.178559
17,1,16,Bottineau,North Dakota,38,9,38009,5880,48.962967,-101.443105,0.370002
18,1,17,Rolette,North Dakota,38,79,38079,6180,48.890217,-100.114963,0.319579
19,1,18,Towner,North Dakota,38,95,38095,6380,48.833127,-99.231872,1.150309
20,1,19,Cavalier,North Dakota,38,19,38019,6480,48.802012,-98.791137,1.865876
21,1,20,Pembina,North Dakota,38,67,38067,6680,48.734661,-97.911399,0.66495
22,1,21,Kittson,Minnesota,27,69,27069,6881,48.949771,-96.975137,4.468208
23,1,22,Roseau,Minnesota,27,135,27135,7081,48.868361,-96.095642,1.249257
24,1,23,Blaine,Montana,30,5,30005,4176,47.913821,-108.96429,0.029338
25,1,24,Phillips,Montana,30,71,30071,4579,48.806323,-107.226997,0.004805
26,1,25,Valley,Montana,30,105,30105,4576,47.930889,-107.223027,0.012348
27,1,26,Daniels,Montana,30,19,30019,4979,48.796036,-105.454569,0.9635
28,1,27,Whatcom,Washington,53,73,53073,1482,48.815731,-121.050218,0.009632
29,1,28,Bonner,Idaho,16,17,16017,2380,48.659561,-116.976512,4.094411
30,1,29,Ward,North Dakota,38,101,38101,5779,48.692578,-101.916866,0.299793
31,1,30,Koochiching,Minnesota,27,71,27071,7480,48.397551,-94.419937,0.034629
32,1,31,Skagit,Washington,53,57,53057,1481,48.52898,-120.96792,0.029124
33,1,32,Williams,North Dakota,38,105,38105,5477,48.161372,-103.285615,0.007306
34,1,33,McHenry,North Dakota,38,49,38049,6077,48.043891,-100.669876,1.008832
35,1,34,St. Louis,Minnesota,27,137,27137,7876,47.042949,-93.019132,0.261397
36,0,35,San Juan,Washington,53,55,53055,0,0,0,0
37,1,36,Roosevelt,Montana,30,85,30085,5277,48.186936,-104.159885,0.004672
38,1,37,Mountrail,North Dakota,38,61,38061,5677,48.129001,-102.412376,0.026993
39,1,38,Marshall,Minnesota,27,89,27089,7180,48.53659,-95.723587,1.313673
