lon,lat,"poplar_yield Mt/ha"
-124.25,26.25,NA
-123.75,26.25,NA
-123.25,26.25,NA
-122.75,26.25,NA
-122.25,26.25,NA
-121.75,26.25,NA
-121.25,26.25,NA
-120.75,26.25,NA
-120.25,26.25,NA
-119.75,26.25,NA
-119.25,26.25,NA
-118.75,26.25,NA
-118.25,26.25,NA
-117.75,26.25,NA
-117.25,26.25,NA
-116.75,26.25,NA
-116.25,26.25,NA
-115.75,26.25,NA
-115.25,26.25,NA
-114.75,26.25,NA
-114.25,26.25,NA
-113.75,26.25,NA
-113.25,26.25,NA
-112.75,26.25,4.113065856
-112.25,26.25,5.163856745
-111.75,26.25,4.675140679
-111.25,26.25,3.532336099
-110.75,26.25,NA
-110.25,26.25,NA
-109.75,26.25,NA
-109.25,26.25,3.160527945
-108.75,26.25,2.535049717
-108.25,26.25,2.584146261
-107.75,26.25,2.597610752
-107.25,26.25,3.758179426
-106.75,26.25,3.567824125
-106.25,26.25,4.751149416
-105.75,26.25,4.147122304
-105.25,26.25,4.3833975
-104.75,26.25,4.211746852
-104.25,26.25,4.108799934
-103.75,26.25,3.961435318
-103.25,26.25,4.03713131
-102.75,26.25,4.419096879
-102.25,26.25,4.336087227
-101.75,26.25,4.500257015
-101.25,26.25,4.598807812
-100.75,26.25,5.01636982
-100.25,26.25,5.747780119
-99.75,26.25,5.703602518
-99.25,26.25,6.08402729
-98.75,26.25,6.030617714
-98.25,26.25,7.805368423
-97.75,26.25,8.990580559
-97.25,26.25,8.299798012
-96.75,26.25,NA
-96.25,26.25,NA
-95.75,26.25,NA
-95.25,26.25,NA
-94.75,26.25,NA
-94.25,26.25,NA
-93.75,26.25,NA
-93.25,26.25,NA
-92.75,26.25,NA
-92.25,26.25,NA
-91.75,26.25,NA
-91.25,26.25,NA
-90.75,26.25,NA
-90.25,26.25,NA
-89.75,26.25,NA
-89.25,26.25,NA
-88.75,26.25,NA
-88.25,26.25,NA
-87.75,26.25,NA
-87.25,26.25,NA
-86.75,26.25,NA
-86.25,26.25,NA
-85.75,26.25,NA
-85.25,26.25,NA
-84.75,26.25,NA
-84.25,26.25,NA
-83.75,26.25,NA
-83.25,26.25,NA
-82.75,26.25,NA
-82.25,26.25,NA
-81.75,26.25,0.01233826
-81.25,26.25,0.012301044
-80.75,26.25,0.012304566
-80.25,26.25,0.0123046
-79.75,26.25,NA
-79.25,26.25,NA
-78.75,26.25,NA
-78.25,26.25,NA
-77.75,26.25,NA
-77.25,26.25,11.03819002
-76.75,26.25,NA
-76.25,26.25,NA
-75.75,26.25,NA
-75.25,26.25,NA
-74.75,26.25,NA
-74.25,26.25,NA
-73.75,26.25,NA
-73.25,26.25,NA
-72.75,26.25,NA
-72.25,26.25,NA
-71.75,26.25,NA
-71.25,26.25,NA
-70.75,26.25,NA
-70.25,26.25,NA
-69.75,26.25,NA
-69.25,26.25,NA
-68.75,26.25,NA
-68.25,26.25,NA
-67.75,26.25,NA
-67.25,26.25,NA
-124.25,26.75,NA
-123.75,26.75,NA
-123.25,26.75,NA
-122.75,26.75,NA
-122.25,26.75,NA
-121.75,26.75,NA
-121.25,26.75,NA
-120.75,26.75,NA
-120.25,26.75,NA
-119.75,26.75,NA
-119.25,26.75,NA
-118.75,26.75,NA
-118.25,26.75,NA
-117.75,26.75,NA
-117.25,26.75,NA
-116.75,26.75,NA
-116.25,26.75,NA
-115.75,26.75,NA
-115.25,26.75,NA
-114.75,26.75,NA
-114.25,26.75,NA
-113.75,26.75,8.516629826
-113.25,26.75,7.456129247
-112.75,26.75,6.177179813
-112.25,26.75,5.120840073
-111.75,26.75,5.008248261
-111.25,26.75,NA
-110.75,26.75,NA
-110.25,26.75,NA
-109.75,26.75,3.652404717
-109.25,26.75,1.950040102
-108.75,26.75,2.005815029
-108.25,26.75,3.172518492
-107.75,26.75,3.132718325
-107.25,26.75,3.189161062
-106.75,26.75,3.213107586
-106.25,26.75,2.915525436
-105.75,26.75,3.988384008
-105.25,26.75,3.826722145
-104.75,26.75,3.925352097
-104.25,26.75,4.236855984
-103.75,26.75,4.224410057
-103.25,26.75,4.07733345
-102.75,26.75,3.741823912
-102.25,26.75,3.978070021
-101.75,26.75,4.304071495
-101.25,26.75,6.015869549
-100.75,26.75,6.534673827
-100.25,26.75,6.603995051
-99.75,26.75,6.798733303
-99.25,26.75,5.913083818
-98.75,26.75,6.632347703
-98.25,26.75,9.487851858
-97.75,26.75,9.572089911
-97.25,26.75,9.446987629
-96.75,26.75,NA
-96.25,26.75,NA
-95.75,26.75,NA
-95.25,26.75,NA
-94.75,26.75,NA
-94.25,26.75,NA
-93.75,26.75,NA
-93.25,26.75,NA
-92.75,26.75,NA
-92.25,26.75,NA
-91.75,26.75,NA
-91.25,26.75,NA
-90.75,26.75,NA
-90.25,26.75,NA
-89.75,26.75,NA
-89.25,26.75,NA
-88.75,26.75,NA
-88.25,26.75,NA
-87.75,26.75,NA
-87.25,26.75,NA
-86.75,26.75,NA
-86.25,26.75,NA
-85.75,26.75,NA
-85.25,26.75,NA
-84.75,26.75,NA
-84.25,26.75,NA
-83.75,26.75,NA
-83.25,26.75,NA
-82.75,26.75,NA
-82.25,26.75,0.01235078
-81.75,26.75,0.012355031
-81.25,26.75,0.012355744
-80.75,26.75,0.012359285
-80.25,26.75,0.01234773
-79.75,26.75,NA
-79.25,26.75,NA
-78.75,26.75,11.28270539
-78.25,26.75,10.79223676
-77.75,26.75,10.77506383
-77.25,26.75,10.76776006
-76.75,26.75,NA
-76.25,26.75,NA
-75.75,26.75,NA
-75.25,26.75,NA
-74.75,26.75,NA
-74.25,26.75,NA
-73.75,26.75,NA
-73.25,26.75,NA
-72.75,26.75,NA
-72.25,26.75,NA
-71.75,26.75,NA
-71.25,26.75,NA
-70.75,26.75,NA
-70.25,26.75,NA
-69.75,26.75,NA
-69.25,26.75,NA
-68.75,26.75,NA
-68.25,26.75,NA
-67.75,26.75,NA
-67.25,26.75,NA
-124.25,27.25,NA
-123.75,27.25,NA
-123.25,27.25,NA
-122.75,27.25,NA
-122.25,27.25,NA
-121.75,27.25,NA
-121.25,27.25,NA
-120.75,27.25,NA
-120.25,27.25,NA
-119.75,27.25,NA
-119.25,27.25,NA
-118.75,27.25,NA
-118.25,27.25,NA
-117.75,27.25,NA
-117.25,27.25,NA
-116.75,27.25,NA
-116.25,27.25,NA
-115.75,27.25,NA
-115.25,27.25,NA
-114.75,27.25,NA
-114.25,27.25,8.566750613
-113.75,27.25,8.276994012
-113.25,27.25,0.012519412
-112.75,27.25,7.12939167
-112.25,27.25,6.384835243
-111.75,27.25,NA
-111.25,27.25,NA
-110.75,27.25,NA
-110.25,27.25,2.202274799
-109.75,27.25,2.444917202
-109.25,27.25,2.394363199
-108.75,27.25,2.670022079
-108.25,27.25,3.736343384
-107.75,27.25,3.087455988
-107.25,27.25,3.230152607
-106.75,27.25,2.947853327
-106.25,27.25,3.027166843
-105.75,27.25,2.972128153
-105.25,27.25,5.613760551
-104.75,27.25,3.877824545
-104.25,27.25,4.202410221
-103.75,27.25,4.25756073
-103.25,27.25,4.423381805
-102.75,27.25,5.683410168
-102.25,27.25,4.341097832
-101.75,27.25,4.387784481
-101.25,27.25,4.648030996
-100.75,27.25,4.736788613
-100.25,27.25,5.751877512
-99.75,27.25,6.571882793
-99.25,27.25,5.853964686
-98.75,27.25,5.779916218
-98.25,27.25,5.437479019
-97.75,27.25,9.808873177
-97.25,27.25,7.924181938
-96.75,27.25,NA
-96.25,27.25,NA
-95.75,27.25,NA
-95.25,27.25,NA
-94.75,27.25,NA
-94.25,27.25,NA
-93.75,27.25,NA
-93.25,27.25,NA
-92.75,27.25,NA
-92.25,27.25,NA
-91.75,27.25,NA
-91.25,27.25,NA
-90.75,27.25,NA
-90.25,27.25,NA
-89.75,27.25,NA
-89.25,27.25,NA
-88.75,27.25,NA
-88.25,27.25,NA
-87.75,27.25,NA
-87.25,27.25,NA
-86.75,27.25,NA
-86.25,27.25,NA
-85.75,27.25,NA
-85.25,27.25,NA
-84.75,27.25,NA
-84.25,27.25,NA
-83.75,27.25,NA
-83.25,27.25,NA
-82.75,27.25,10.38250945
-82.25,27.25,0.0123604
-81.75,27.25,0.01236122
-81.25,27.25,0.012374984
-80.75,27.25,0.012361995
-80.25,27.25,0.012360319
-79.75,27.25,NA
-79.25,27.25,NA
-78.75,27.25,NA
