id,citation_id,site_id,specie_id,treatment_id,cultivar_id,date,dateloc,statname,stat,mean,n,notes,created_at,updated_at,user_id,checked,access_level
,,MK,2854,1,90,18/11/1991,5,,,5.906480103,,,,,,,
,,MK,2854,1,90,4/2/92,5,,,28.67833984,,,,,,,
,,MK,2854,1,90,1/4/92,5,,,48.9226123,,,,,,,
,,MK,2854,1,90,14/07/1992,5,,,62.46741211,,,,,,,
,,MK,2854,1,91,18/11/1991,5,,,3.396270142,,,,,,,
,,MK,2854,1,91,4/2/92,5,,,37.78233887,,,,,,,
,,MK,2854,1,91,1/4/92,5,,,48.01259766,,,,,,,
,,MK,2854,1,91,14/07/1992,5,,,73.76493164,,,,,,,
.,,MK,2854,1,91,18/11/1991,5,,,4.01631012,,,,,,,
,,MK,2854,1,91,4/2/92,5,,,40.21364014,,,,,,,
,,MK,2854,1,91,1/4/92,5,,,54.31371094,,,,,,,
,,MK,2854,1,91,14/07/1992,5,,,68.40625,,,,,,,
,,MK,2854,1,90,18/11/1991,5,,,4.445249939,,,,,,,
,,MK,2854,1,90,4/2/92,5,,,28.88835938,,,,,,,
,,MK,2854,1,90,1/4/92,5,,,41.97853027,,,,,,,
,,MK,2854,1,90,14/07/1992,5,,,65.8473291,,,,,,,
,,ZN,2854,1,0,4/10/91,5,,,3.48875,,,,,,,
,,ZN,2854,1,0,22/10/1991,5,,,7.437459717,,,,,,,
,,ZN,2854,1,0,20/11/1991,5,,,13.65671997,,,,,,,
,,ZN,2854,1,0,4/12/91,5,,,20.02869995,,,,,,,
,,ZN,2854,1,0,21/01/1992,5,,,36.08468994,,,,,,,
,,ZN,2854,1,0,11/2/92,5,,,56.77391113,,,,,,,
,,ZN,2854,1,0,11/3/92,5,,,61.79313965,,,,,,,
,,ZN,2854,1,0,7/4/92,5,,,75.23922852,,,,,,,
,,ZN,2854,1,0,5/5/92,5,,,80.73790039,,,,,,,
,,ZN,2854,1,0,7/7/92,5,,,74.79882813,,,,,,,
,,ZN,2854,1,0,4/10/91,5,,,3.929150085,,,,,,,
,,ZN,2854,1,0,22/10/1991,5,,,7.930709839,,,,,,,
,,ZN,2854,1,0,20/11/1991,5,,,16.14094971,,,,,,,
,,ZN,2854,1,0,4/12/91,5,,,22.32157959,,,,,,,
,,ZN,2854,1,0,21/01/1992,5,,,45.94214844,,,,,,,
,,ZN,2854,1,0,11/2/92,5,,,51.7538623,,,,,,,
,,ZN,2854,1,0,11/3/92,5,,,61.99825195,,,,,,,
,,ZN,2854,1,0,7/4/92,5,,,66.71567871,,,,,,,
,,ZN,2854,1,0,5/5/92,5,,,62.61734863,,,,,,,
,,ZN,2854,1,0,7/7/92,5,,,69.11495117,,,,,,,
,,ZN,2854,1,0,4/10/91,5,,,4.620780029,,,,,,,
,,ZN,2854,1,0,22/10/1991,5,,,6.145230103,,,,,,,
,,ZN,2854,1,0,20/11/1991,5,,,13.72125977,,,,,,,
,,ZN,2854,1,0,4/12/91,5,,,21.68211914,,,,,,,
,,ZN,2854,1,0,21/01/1992,5,,,44.29019043,,,,,,,
,,ZN,2854,1,0,11/2/92,5,,,54.34808105,,,,,,,
,,ZN,2854,1,0,11/3/92,5,,,62.83291992,,,,,,,
,,ZN,2854,1,0,7/4/92,5,,,68.99778809,,,,,,,
,,ZN,2854,1,0,5/5/92,5,,,68.50751953,,,,,,,
,,ZN,2854,1,0,7/7/92,5,,,77.8362207,,,,,,,
,,ZN,2854,1,0,4/10/91,5,,,4.330920105,,,,,,,
,,ZN,2854,1,0,22/10/1991,5,,,7.940419922,,,,,,,
,,ZN,2854,1,0,20/11/1991,5,,,16.99751953,,,,,,,
,,ZN,2854,1,0,4/12/91,5,,,21.31774902,,,,,,,
,,ZN,2854,1,0,21/01/1992,5,,,43.85935059,,,,,,,
,,ZN,2854,1,0,11/2/92,5,,,46.05584961,,,,,,,
,,ZN,2854,1,0,11/3/92,5,,,63.25303223,,,,,,,
,,ZN,2854,1,0,7/4/92,5,,,76.1499707,,,,,,,
,,ZN,2854,1,0,5/5/92,5,,,64.20029785,,,,,,,
,,ZN,2854,1,0,7/7/92,5,,,75.04483887,,,,,,,
,,MK,2854,1,91,22/10/1992,5,,,2.736419983,,,,,,,
,,MK,2854,1,91,11/11/92,5,,,5.867020264,,,,,,,
,,MK,2854,1,91,10/12/92,5,,,13.8911499,,,,,,,
,,MK,2854,1,91,27/01/1993,5,,,32.03480957,,,,,,,
,,MK,2854,1,91,2/3/93,5,,,41.21187012,,,,,,,
,,MK,2854,1,91,30/03/1993,5,,,48.38808105,,,,,,,
,,MK,2854,1,91,5/5/93,5,,,54.49102051,,,,,,,
,,MK,2854,1,91,9/6/93,5,,,58.37375977,,,,,,,
,,MK,2854,1,91,16/08/1993,5,,,51.19533203,,,,,,,
,,MK,2854,1,91,14/09/1993,5,,,48.21344238,,,,,,,
,,MK,2854,1,91,21/10/1993,5,,,60.05020996,,,,,,,
,,MK,2854,1,90,22/10/1992,5,,,2.397059937,,,,,,,
,,MK,2854,1,90,11/11/92,5,,,6.047780151,,,,,,,
,,MK,2854,1,90,10/12/92,5,,,10.75448975,,,,,,,
,,MK,2854,1,90,27/01/1993,5,,,28.13949951,,,,,,,
,,MK,2854,1,90,2/3/93,5,,,36.26511963,,,,,,,
,,MK,2854,1,90,30/03/1993,5,,,40.47180908,,,,,,,
,,MK,2854,1,90,5/5/93,5,,,46.26529785,,,,,,,
,,MK,2854,1,90,9/6/93,5,,,56.76180176,,,,,,,
,,MK,2854,1,90,16/08/1993,5,,,59.11004883,,,,,,,
,,MK,2854,1,90,14/09/1993,5,,,58.13710938,,,,,,,
,,MK,2854,1,90,21/10/1993,5,,,62.63164063,,,,,,,
,,MK,2854,1,90,22/10/1992,5,,,2.057420044,,,,,,,
,,MK,2854,1,90,11/11/92,5,,,5.836439819,,,,,,,
,,MK,2854,1,90,10/12/92,5,,,13.50083984,,,,,,,
,,MK,2854,1,90,27/01/1993,5,,,31.67318115,,,,,,,
,,MK,2854,1,90,2/3/93,5,,,38.40125,,,,,,,
,,MK,2854,1,90,30/03/1993,5,,,49.82486816,,,,,,,
,,MK,2854,1,90,5/5/93,5,,,56.98561035,,,,,,,
,,MK,2854,1,90,9/6/93,5,,,51.52314941,,,,,,,
,,MK,2854,1,90,16/08/1993,5,,,66.58541016,,,,,,,
,,MK,2854,1,90,14/09/1993,5,,,55.3988916,,,,,,,
,,MK,2854,1,90,21/10/1993,5,,,64.20166016,,,,,,,
,,MK,2854,1,91,22/10/1992,5,,,2.36753006,,,,,,,
,,MK,2854,1,91,11/11/92,5,,,4.894859924,,,,,,,
,,MK,2854,1,91,10/12/92,5,,,11.91537964,,,,,,,
,,MK,2854,1,91,27/01/1993,5,,,27.7660498,,,,,,,
,,MK,2854,1,91,2/3/93,5,,,34.49071045,,,,,,,
,,MK,2854,1,91,30/03/1993,5,,,38.40013916,,,,,,,
,,MK,2854,1,91,5/5/93,5,,,39.26790039,,,,,,,
,,MK,2854,1,91,9/6/93,5,,,56.0613623,,,,,,,
,,MK,2854,1,91,16/08/1993,5,,,58.4439502,,,,,,,
,,MK,2854,1,91,14/09/1993,5,,,57.23293945,,,,,,,
,,MK,2854,1,91,21/10/1993,5,,,58.76300781,,,,,,,
,,MK,2854,1,90,22/10/1992,5,,,3.707030029,,,,,,,
,,MK,2854,1,90,11/11/92,5,,,6.897349854,,,,,,,
,,MK,2854,1,90,10/12/92,5,,,12.76850952,,,,,,,
,,MK,2854,1,90,27/01/1993,5,,,29.26508057,,,,,,,
,,MK,2854,1,90,2/3/93,5,,,39.98133057,,,,,,,
,,MK,2854,1,90,30/03/1993,5,,,44.57443848,,,,,,,
,,MK,2854,1,90,9/6/93,5,,,53.22418945,,,,,,,
,,MK,2854,1,90,16/08/1993,5,,,50.95722168,,,,,,,
,,MK,2854,1,90,14/09/1993,5,,,56.91801758,,,,,,,
,,MK,2854,1,90,21/10/1993,5,,,46.16208984,,,,,,,
,,MK,2854,1,91,22/10/1992,5,,,4.109580078,,,,,,,
,,MK,2854,1,91,11/11/92,5,,,9.010170288,,,,,,,
,,MK,2854,1,91,10/12/92,5,,,18.51376953,,,,,,,
,,MK,2854,1,91,27/01/1993,5,,,39.31766113,,,,,,,
,,MK,2854,1,91,2/3/93,5,,,44.38705078,,,,,,,
,,MK,2854,1,91,30/03/1993,5,,,55.62278809,,,,,,,
,,MK,2854,1,91,5/5/93,5,,,60.87758789,,,,,,,
,,MK,2854,1,91,9/6/93,5,,,61.1926123,,,,,,,
,,MK,2854,1,91,16/08/1993,5,,,62.81294922,,,,,,,
,,MK,2854,1,91,22/10/1992,5,,,3.38322998,,,,,,,
,,MK,2854,1,91,11/11/92,5,,,8.286160278,,,,,,,
,,MK,2854,1,91,10/12/92,5,,,18.66062012,,,,,,,
,,MK,2854,1,91,27/01/1993,5,,,38.27701904,,,,,,,
,,MK,2854,1,91,2/3/93,5,,,51.05153809,,,,,,,
,,MK,2854,1,91,30/03/1993,5,,,48.10921875,,,,,,,
,,MK,2854,1,91,5/5/93,5,,,50.87158203,,,,,,,
,,MK,2854,1,91,9/6/93,5,,,63.0235791,,,,,,,
,,MK,2854,1,90,22/10/1992,5,,,2.853880005,,,,,,,
,,MK,2854,1,90,11/11/92,5,,,6.250269775,,,,,,,
,,MK,2854,1,90,10/12/92,5,,,13.26020996,,,,,,,
,,MK,2854,1,90,27/01/1993,5,,,30.17455078,,,,,,,
,,MK,2854,1,90,2/3/93,5,,,41.99541016,,,,,,,
,,MK,2854,1,90,30/03/1993,5,,,56.18539063,,,,,,,
,,MK,2854,1,90,5/5/93,5,,,50.38921875,,,,,,,
,,MK,2854,1,90,9/6/93,5,,,62.29095215,,,,,,,
,,MK,2854,1,90,16/08/1993,5,,,74.75451172,,,,,,,
,,MK,2854,1,90,14/09/1993,5,,,69.16486816,,,,,,,
,,MK,2854,1,90,21/10/1993,5,,,55.82519043,,,,,,,
,,MK,2854,1,0,17/08/1993,5,,,62.87850098,,,,,,,
,,MK,2854,1,0,17/08/1993,5,,,63.49629883,,,,,,,
,,MK,2854,1,0,17/08/1993,5,,,61.37430176,,,,,,,
,,MK,2854,1,0,17/08/1993,5,,,60.325,,,,,,,
,,MK,2854,1,0,17/08/1993,5,,,64.15720215,,,,,,,
,,MK,2854,1,0,17/08/1993,5,,,57.57930176,,,,,,,
,,ZN,2854,1,0,29/07/1992,5,,,0.72032898,,,,,,,
,,ZN,2854,1,0,7/10/92,5,,,4.738613892,,,,,,,
,,ZN,2854,1,0,27/10/1992,5,,,7.327990723,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,14.11765747,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,18.68073242,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,28.84998779,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,46.87509766,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,51.10442383,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,61.46907227,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,71.12322754,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,69.61308594,,,,,,,
,,ZN,2854,1,0,29/07/1993,5,,,81.14269531,,,,,,,
,,ZN,2854,1,0,29/07/1992,5,,,1.009714966,,,,,,,
,,ZN,2854,1,0,7/10/92,5,,,8.302537842,,,,,,,
,,ZN,2854,1,0,27/10/1992,5,,,10.7195874,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,20.6986792,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,28.83046875,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,41.1008252,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,47.53904297,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,58.18688965,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,68.38527832,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,76.89736816,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,92.00430664,,,,,,,
,,ZN,2854,1,0,29/07/1993,5,,,85.27970703,,,,,,,
,,ZN,2854,1,0,29/07/1992,5,,,0.940206986,,,,,,,
,,ZN,2854,1,0,7/10/92,5,,,7.026373901,,,,,,,
,,ZN,2854,1,0,27/10/1992,5,,,10.1829303,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,21.15464355,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,27.03647705,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,44.17719727,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,41.10868164,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,66.15229492,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,67.94139648,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,73.51413086,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,83.79841797,,,,,,,
,,ZN,2854,1,0,29/07/1993,5,,,81.74487793,,,,,,,
,,ZN,2854,1,0,29/07/1992,5,,,0.556785011,,,,,,,
,,ZN,2854,1,0,7/10/92,5,,,3.974184875,,,,,,,
,,ZN,2854,1,0,27/10/1992,5,,,6.199486084,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,13.27797241,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,19.96102173,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,34.45411865,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,39.68478516,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,58.43557129,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,60.97144531,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,70.47185059,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,65.67061035,,,,,,,
,,ZN,2854,1,0,29/07/1993,5,,,72.19844727,,,,,,,
,,ZN,2854,1,0,29/07/1992,5,,,0.72032898,,,,,,,
,,ZN,2854,1,0,7/10/92,5,,,4.738613892,,,,,,,
,,ZN,2854,1,0,27/10/1992,5,,,7.327990723,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,14.11765747,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,18.68073242,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,28.84998779,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,46.87509766,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,51.10442383,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,61.46907227,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,71.12322754,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,69.61308594,,,,,,,
,,ZN,2854,1,0,29/07/1993,5,,,81.14269531,,,,,,,
,,ZN,2854,1,0,29/07/1992,5,,,0.556785011,,,,,,,
,,ZN,2854,1,0,7/10/92,5,,,3.974184875,,,,,,,
,,ZN,2854,1,0,27/10/1992,5,,,6.199486084,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,13.27797241,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,19.96102173,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,34.45411865,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,39.68478516,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,58.43557129,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,60.97144531,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,70.47185059,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,65.67061035,,,,,,,
,,ZN,2854,1,0,29/07/1993,5,,,72.19844727,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,4.880603027,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,7.061864014,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,15.97220825,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,19.04490356,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,35.79158203,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,45.79787109,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,45.30401855,,,,,,,
,,ZN,2854,1,0,10/8/93,5,,,51.09266602,,,,,,,
,,ZN,2854,1,0,7/9/93,5,,,58.33761719,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,4.620993958,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,5.320510254,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,14.63437378,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,21.22612061,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,37.26967773,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,37.1338623,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,47.90074219,,,,,,,
,,ZN,2854,1,0,10/8/93,5,,,58.48189453,,,,,,,
,,ZN,2854,1,0,7/9/93,5,,,68.24736328,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,1.030334015,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,3.260870972,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,10.37193359,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,16.02720947,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,29.34587402,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,47.69899902,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,50.75597168,,,,,,,
,,ZN,2854,1,0,10/8/93,5,,,54.0217334,,,,,,,
,,ZN,2854,1,0,7/9/93,5,,,55.49049805,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,0.960791016,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,3.116795959,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,12.04549561,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,15.8803064,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,30.0387915,,,,,,,
,,ZN,2854,1,0,25/05/1993,5,,,47.87186035,,,,,,,
,,ZN,2854,1,0,6/7/93,5,,,49.15306152,,,,,,,
,,ZN,2854,1,0,10/8/93,5,,,58.42491211,,,,,,,
,,ZN,2854,1,0,7/9/93,5,,,62.35883301,,,,,,,
,,ZN,2854,1,0,13/10/1993,5,,,61.72073242,,,,,,,
,,ZN,2854,1,0,24/11/1992,5,,,0.51473999,,,,,,,
,,ZN,2854,1,0,15/12/1992,5,,,2.213480988,,,,,,,
,,ZN,2854,1,0,19/01/1993,5,,,11.81435181,,,,,,,
,,ZN,2854,1,0,9/2/93,5,,,10.99618652,,,,,,,
,,ZN,2854,1,0,23/03/1993,5,,,25.41561279,,,,,,,
,,ZN,2854,1,0,20/04/1993,5,,,30.54659912,,,,,,,
