Id,Site,Specie,Citation,Cultivar,Treatment,Date,Dateloc,Time,Timeloc,Mean,N,Statname,Stat,Notes,Created at,Updated at,Variable,User,Checked,Access level
37499,602,30,381,,1220,2010-06-01,6.5,,,85.0754466166667,3,sd,20.571430375859,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37500,602,31,381,,1220,2010-06-01,6.5,,,99.8928019,4,sd,15.6944994850915,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37501,602,189,381,,1220,2010-06-01,6.5,,,78.7475960425,3,sd,8.63538507775353,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37502,602,287,381,,1220,2010-06-01,6.5,,,71.651919396,4,sd,11.8071288111561,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37503,602,297,381,,1220,2010-06-01,6.5,,,76.953671455,5,sd,9.67181767340789,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37504,602,311,381,,1220,2010-06-01,6.5,,,88.2101031175,4,sd,14.6896868639684,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37505,602,390,381,,1220,2010-06-01,6.5,,,73.825215475,4,sd,22.7237354129924,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37506,602,393,381,,1220,2010-06-01,6.5,,,80.96739181,4,sd,32.5147116192718,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37507,602,396,381,,1220,2010-06-01,6.5,,,84.28272003,4,sd,9.67165733916625,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37508,602,787,381,,1220,2010-06-01,6.5,,,75.71513677,5,sd,8.78396584584831,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37509,602,788,381,,1220,2010-06-01,6.5,,,79.897425285,5,sd,10.7795107704734,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37510,602,814,381,,1220,2010-06-01,6.5,,,94.32394279,5,sd,28.533028264194,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37511,602,1037,381,,1220,2010-06-01,6.5,,,86.890140245,5,sd,22.2593327566875,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37512,602,1072,381,,1220,2010-06-01,6.5,,,78.4087703525,5,sd,14.0982134669801,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37513,602,1215,381,,1220,2010-06-01,6.5,,,95.032532212,3,sd,9.99223592168133,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37514,602,9303,381,,1220,2010-06-01,6.5,,,75.69350772,4,sd,8.9995735702131,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37515,602,19104,381,,1220,2010-06-01,6.5,,,81.950977192,4,sd,27.7635489700426,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37516,602,21460,381,,1220,2010-06-01,6.5,,,101.71662601,4,sd,5.31496381483583,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37517,602,31914,381,,1220,2010-06-01,6.5,,,82.31549001,5,sd,11.2394840835866,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
37518,602,46334,381,,1220,2010-06-01,6.5,,,68.6308864775,5,sd,22.3491389464621,,2011-06-12 18:15:17 UTC,2011-06-12 18:15:17 UTC,4,6,false,1
