"spp","D","H","THETA","R1","R2","R3","R4","R5","R6","R7","R8","Dia","Ht","Ca"
"ACBA3",1.37106786227174,1.25695815256093,1.03112204706569,4.66,1.22,NA,NA,NA,NA,NA,NA,23.5,18.07,27.1546702605687
"ACBA3",1.00432137378264,1.10720996964787,1.47662654864184,4.1,2.24,NA,NA,NA,NA,NA,NA,10.1,12.8,31.5695504166585
"ACBA3",0.832508912706236,1.02978947083186,0.830900417874023,2.07,1.11,NA,NA,NA,NA,NA,NA,6.8,10.71,7.94226038754035
"ACBA3",0.342422680822206,0.439332693830263,0.182321556793954,3.64,-1,NA,NA,NA,NA,NA,NA,2.2,2.75,5.47391103961486
"ACRU",1.08990511143940,0.979092900638326,0.562090016001774,5.85,3.37,NA,NA,NA,NA,NA,NA,12.3,9.53,66.7654412333556
"ACRU",0.57978359661681,0.592176757395867,-0.790690334868582,2.51,1.37,NA,NA,NA,NA,NA,NA,3.8,3.91,11.8236981110505
"ACRU",0.792391689498254,0.90471554527868,0.641283706550371,5.78,0.46,NA,NA,NA,NA,NA,NA,6.2,8.03,30.5815195271045
"ACRU",1.49276038902684,1.30513631894364,0.65549046112194,9.81,2.5,NA,NA,NA,NA,NA,NA,31.1,20.19,119.016174628412
"ACRU",1.73239375982297,1.57898284270279,-0.817221343628436,4.03,2.11,NA,NA,NA,NA,NA,NA,54,37.93,29.6091966008184
"ACRU",0.477121254719662,0.592176757395867,-0.826678573184468,4.02,-2.34,NA,NA,NA,NA,NA,NA,3,3.91,2.21670777637296
"ACRU",0.707570176097936,0.888179493918325,0.554537056856407,3.53,1.11,NA,NA,NA,NA,NA,NA,5.1,7.73,16.9093082986817
"ACRU",1.59879050676312,1.41813549842523,0.486664464713520,6.65,2.52,NA,NA,NA,NA,NA,NA,39.7,26.19,66.0432676221117
"ACRU",0.8750612633917,0.935507265824713,-0.457955290729561,4.25,2.85,NA,NA,NA,NA,NA,NA,7.5,8.62,39.5919214168654
"ACRU",0.924279286061882,0.983626287124535,-0.4323647777458,4.29,2.2,NA,NA,NA,NA,NA,NA,8.4,9.63,33.0810491821169
"ACRU",1.58994960132571,1.55278985019278,1.26178667166801,7.15,3.04,NA,NA,NA,NA,NA,NA,38.9,35.71,81.5526822343538
"ACRU",0.556302500767287,0.732393759822969,-0.382369393313515,2.71,0.96,NA,NA,NA,NA,NA,NA,3.6,5.4,10.5784493229839
"ACRU",1.44247976906445,1.38147609027503,0.662146557954012,6.62,3.77,NA,NA,NA,NA,NA,NA,27.7,24.07,84.7853810748977
"ACRU",1.22271647114758,1.17522180034305,-0.410477649931708,5.46,1.63,NA,NA,NA,NA,NA,NA,16.7,14.97,39.4804734174793
"ACRU",1.31806333496276,1.28307497473547,0.0469080261160441,4.74,0.79,NA,NA,NA,NA,NA,NA,20.8,19.19,24.0181826950410
"ACRU",0.954242509439325,1.12645611343180,0.261570928448096,3.77,1.07,NA,NA,NA,NA,NA,NA,9,13.38,18.3984232164833
"ACRU",1.26245108973043,1.31048089146268,0.143100843640674,5.18,1.79,NA,NA,NA,NA,NA,NA,18.3,20.44,38.1553496361951
"ACRU",1.17026171539496,1.18241465243455,0.155370936232488,5.4,3.05,NA,NA,NA,NA,NA,NA,14.8,15.22,56.0793923619863
"ACRU",0.278753600952829,0.481442628502305,-1.12965691035007,1.88,0.94,NA,NA,NA,NA,NA,NA,1.9,3.03,6.24580035460187
"ACRU",0.342422680822206,0.514547752660286,-0.0183491386681964,1.61,0.3,NA,NA,NA,NA,NA,NA,2.2,3.27,2.86521103989023
"ACRU",1.58883172559421,1.45453998496482,0.783558891542967,4.07,2.69,NA,NA,NA,NA,NA,NA,38.8,28.48,35.8908111116712
"ACRU",0.7481880270062,0.885361220031512,0.198566538978287,3.14,0.82,NA,NA,NA,NA,NA,NA,5.6,7.68,12.3162998391334
"ACRU",0.361727836017593,0.563481085394411,-0.219455778235025,2.5,0,NA,NA,NA,NA,NA,NA,2.3,3.66,4.90873852123405
"ACRU",1.03342375548695,1.16016829295851,0.0636452651603563,5.34,2.71,NA,NA,NA,NA,NA,NA,10.8,14.46,50.8957644835631
"ACRU",1.23044892137827,1.30535136944662,0.405465108108164,7.58,1.1,NA,NA,NA,NA,NA,NA,17,20.2,59.1737825859559
"ACRU",0.681241237375587,0.667452952889954,0.893817876022097,3.1,1.37,NA,NA,NA,NA,NA,NA,4.8,4.65,15.6929621630281
"ACRU",-0.301029995663981,0.187520720836463,-0.762140052046897,1.05,-0.14,NA,NA,NA,NA,NA,NA,0.5,1.54,0.650388219109427
"ACRU",1.18469143081760,1.22891340599469,-0.187084501498507,4.93,2.68,NA,NA,NA,NA,NA,NA,15.3,16.94,45.4840569784894
"ACRU",0.342422680822206,0.558708570533166,0.334578296661142,2.07,0.76,NA,NA,NA,NA,NA,NA,2.2,3.62,6.29017535083382
"ACRU",1.39794000867204,1.33425264233423,0.58793076750342,8.84,2.57,NA,NA,NA,NA,NA,NA,25,21.59,102.249494636203
"ACRU",1.67577834167409,1.49066065335614,0.37459431685149,6.8,3.31,NA,NA,NA,NA,NA,NA,47.4,30.95,80.2771956169963
"ACRU",1.51188336097887,1.27531135454181,1.43679314106939,7.7,3.35,NA,NA,NA,NA,NA,NA,32.5,18.85,95.899079246237
"ACRU",1.3654879848909,1.27875360095283,1.36992738365569,5.64,1.79,NA,NA,NA,NA,NA,NA,23.2,19,43.3578270705398
"ACRU",0.792391689498254,0.845718017966659,-1.3353614920381,2.35,1.24,NA,NA,NA,NA,NA,NA,6.2,7.01,10.1222900696827
"ACRU",1.73559889969818,1.30513631894364,0.997464021917978,5.28,2.62,NA,NA,NA,NA,NA,NA,54.4,20.19,49.0166993776348
"ACRU",0.89209460269048,1.02201573981772,0.283247475383915,3.81,1.54,NA,NA,NA,NA,NA,NA,7.8,10.52,22.4800589318435
"ACRU",0.544068044350276,0.75815462196739,0.277509044738730,2.79,0.72,NA,NA,NA,NA,NA,NA,3.5,5.73,9.6761839128729
"ACRU",0.6232492903979,0.672097857935718,-1.53958408523318,2.69,0.61,NA,NA,NA,NA,NA,NA,4.2,4.7,8.55298599939821
