OBJECTID,Join_Count,TARGET_FID,COUNTY_NAME,STATE_NAME,STATE_FIPS,CNTY_FIPS,FIPS,Avg_lat,Avg_lon,Avg_yield
1,2,1,"Lake of the Woods",Minnesota,27,077,27077,48.58956146,-94.81789398,1.13459941
2,6,2,Ferry,Washington,53,019,53019,48.51316325,-118.50499852,0.09810984
3,5,3,Stevens,Washington,53,065,53065,48.33902588,-117.88693848,1.09466675
4,14,4,Okanogan,Washington,53,047,53047,48.51445007,-119.84551403,0.08711879
5,4,5,"Pend Oreille",Washington,53,051,53051,48.70212936,-117.31965065,2.80251427
6,3,6,Boundary,Idaho,16,021,16021,48.80611293,-116.41079966,1.77841232
7,9,7,Lincoln,Montana,30,053,30053,48.48885345,-115.46221076,0.26291533
8,12,8,Flathead,Montana,30,029,30029,48.265083,-114.10399246,0.10381169
9,9,9,Glacier,Montana,30,035,30035,48.70495478,-113.13024394,0.17951694
10,4,10,Toole,Montana,30,101,30101,48.70156765,-111.87400055,0.28732063
11,4,11,Liberty,Montana,30,051,30051,48.51373672,-111.08204842,0.2349775
12,5,12,Hill,Montana,30,041,30041,48.58492432,-110.22672119,0.18893776
13,5,13,Sheridan,Montana,30,091,30091,48.6614357,-104.4866394,0.02176534
14,2,14,Divide,"North Dakota",38,023,38023,48.75119972,-103.46274948,1.07563322
15,2,15,Burke,"North Dakota",38,013,38013,48.72015953,-102.57894897,0.55841551
16,2,16,Renville,"North Dakota",38,075,38075,48.82783508,-101.68130112,0.4785082
17,5,17,Bottineau,"North Dakota",38,009,38009,48.81373825,-100.83824005,1.44868174
18,3,18,Rolette,"North Dakota",38,079,38079,48.77493668,-99.83481852,2.10859845
19,2,19,Towner,"North Dakota",38,095,38095,48.68798065,-99.2547226,3.0110447
20,2,20,Cavalier,"North Dakota",38,019,38019,48.78560066,-98.57106018,2.76812006
21,3,21,Pembina,"North Dakota",38,067,38067,48.80700684,-97.59994507,3.17278048
22,4,22,Kittson,Minnesota,27,069,27069,48.78527355,-96.78524017,9.83255765
23,4,23,Roseau,Minnesota,27,135,27135,48.76330662,-95.78288651,6.75054272
24,11,24,Blaine,Montana,30,005,30005,48.38990194,-109.02276265,0.23931631
25,13,25,Phillips,Montana,30,071,30071,48.26349904,-107.89696855,0.15595293
26,11,26,Valley,Montana,30,105,30105,48.35394252,-106.58531674,0.07439815
27,2,27,Daniels,Montana,30,019,30019,48.79862022,-105.67609787,0.04035626
28,6,28,Whatcom,Washington,53,073,53073,48.80735334,-121.87611643,9.80974673
29,5,29,Bonner,Idaho,16,017,16017,48.32750397,-116.73287964,8.70324899
30,6,30,Ward,"North Dakota",38,101,38101,48.33183034,-101.51458232,1.31892484
31,8,31,Koochiching,Minnesota,27,071,27071,48.24966478,-93.79148388,1.75887702
32,3,32,Skagit,Washington,53,057,53057,48.47341665,-121.40013377,7.55818011
33,5,33,Williams,"North Dakota",38,105,38105,48.28035431,-103.36486053,0.20575615
34,3,34,McHenry,"North Dakota",38,049,38049,48.3346405,-100.63263194,3.79407688
35,16,35,"St. Louis",Minnesota,27,137,27137,47.62039876,-92.47124004,8.943687
36,0,36,"San Juan",Washington,53,055,53055,0,0,0
37,6,37,Roosevelt,Montana,30,085,30085,48.30065155,-104.95863215,0.23484358
38,5,38,Mountrail,"North Dakota",38,061,38061,48.18694077,-102.40749969,0.61856958
39,5,39,Marshall,Minnesota,27,089,27089,48.35570908,-96.29721375,8.4125395
40,4,40,Ramsey,"North Dakota",38,071,38071,48.35059452,-98.64505386,3.52509099
41,2,41,Walsh,"North Dakota",38,099,38099,48.42694473,-97.74652481,3.67359557
42,8,42,Beltrami,Minnesota,27,007,27007,47.97135019,-94.91527557,4.45828948
43,2,43,Pierce,"North Dakota",38,069,38069,48.16367531,-100.2154007,3.77778697
44,6,44,Chelan,Washington,53,007,53007,47.8295447,-120.62423325,0.06938416
45,4,45,Pondera,Montana,30,073,30073,48.25489998,-112.04980087,0.03491368
46,5,46,Clallam,Washington,53,009,53009,48.06420364,-123.87097931,14.45215052
47,5,47,Benson,"North Dakota",38,005,38005,48.08388443,-99.43686981,3.18282426
48,9,48,Chouteau,Montana,30,015,30015,47.91052119,-110.41555532,0.60439938
49,6,49,Snohomish,Washington,53,061,53061,47.9875749,-121.70300166,18.63366358
50,0,50,Island,Washington,53,029,53029,0,0,0
51,6,51,Sanders,Montana,30,089,30089,47.68867683,-115.03821691,0.67771959
52,6,52,Lake,Minnesota,27,075,27075,47.56667328,-91.401975,8.02439871
53,3,53,Nelson,"North Dakota",38,063,38063,47.97345225,-98.19618479,2.60957808
54,4,54,"Grand Forks","North Dakota",38,035,38035,47.95605469,-97.39476395,5.46439983
55,4,55,Polk,Minnesota,27,119,27119,47.79524231,-96.44025612,6.77035474
56,1,56,Pennington,Minnesota,27,113,27113,48.00202179,-96.28568268,13.99379158
57,4,57,Douglas,Washington,53,017,53017,47.62778568,-119.83537483,0.33903841
58,5,58,McKenzie,"North Dakota",38,053,38053,47.75578384,-103.40217896,0.02027502
59,3,59,Jefferson,Washington,53,031,53031,47.67769368,-123.53066762,11.0245048
60,4,60,Richland,Montana,30,083,30083,47.82970238,-104.50667572,0.01665522
61,7,61,Teton,Montana,30,099,30099,47.84497288,-112.31987217,0.29455681
62,7,62,McCone,Montana,30,055,30055,47.67417581,-105.79888698,0.03041635
63,8,63,Shoshone,Idaho,16,079,16079,47.31269836,-115.95203781,4.11202468
64,5,64,Spokane,Washington,53,063,53063,47.67887573,-117.39311981,2.35742567
65,3,65,Lake,Montana,30,047,30047,47.61236191,-114.0102005,2.19306292
66,2,66,Clearwater,Minnesota,27,029,27029,47.77126503,-95.45736313,4.68309884
67,3,67,Kootenai,Idaho,16,055,16055,47.70785395,-116.6408666,8.43719006
68,12,68,Garfield,Montana,30,033,30033,47.34671021,-107.0052592,0.18877735
69,1,69,"Red Lake",Minnesota,27,125,27125,47.95954132,-95.85446167,7.73382728
70,6,70,Grant,Washington,53,025,53025,47.28532346,-119.38421631,0.07064556
71,7,71,Lincoln,Washington,53,043,53043,47.54323632,-118.5007564,0.1603132
72,8,72,"Lewis and Clark",Montana,30,049,30049,47.10433388,-112.41913795,0.09829462
73,0,73,Kitsap,Washington,53,035,53035,0,0,0
74,7,74,Itasca,Minnesota,27,061,27061,47.5093629,-93.70441873,6.56069577
75,2,75,Sheridan,"North Dakota",38,083,38083,47.58257866,-100.29375076,0.02007116
76,4,76,Wells,"North Dakota",38,103,38103,47.54131794,-99.64831924,2.82322638
77,7,77,McLean,"North Dakota",38,055,38055,47.60980388,-101.15962764,1.59536499
78,2,78,Eddy,"North Dakota",38,027,38027,47.62568474,-98.76573563,2.64668749
79,4,79,Dunn,"North Dakota",38,025,38025,47.40947247,-102.69347572,0.14450272
80,9,80,Fergus,Montana,30,027,30027,47.35688951,-109.23016697,0.55190822
81,6,81,Dawson,Montana,30,021,30021,47.32667796,-104.8537674,0.02539826
82,5,82,King,Washington,53,033,53033,47.432724,-121.62735901,16.08921136
83,5,83,Cascade,Montana,30,013,30013,47.37458191,-111.44317932,0.37783881
84,2,84,Griggs,"North Dakota",38,039,38039,47.43115044,-98.14649582,1.4494177
85,2,85,Steele,"North Dakota",38,091,38091,47.39588547,-97.71868515,4.73122482
86,1,86,Traill,"North Dakota",38,097,38097,47.50354004,-97.26361084,10.7723941
87,3,87,Mason,Washington,53,045,53045,47.43568293,-123.15579987,14.79139388
88,7,88,Missoula,Montana,30,063,30063,47.03994478,-114.01291439,0.17617198
89,5,89,Petroleum,Montana,30,069,30069,46.99059448,-108.24445953,0.06693974
90,6,90,Powell,Montana,30,077,30077,46.84758059,-112.90924962,0.01761288
91,6,91,Kittitas,Washington,53,037,53037,47.04660797,-120.55814743,0.06759823
92,1,92,Foster,"North Dakota",38,031,38031,47.3517189,-99.02687836,3.74107291
93,3,93,Mercer,"North Dakota",38,057,38057,47.4243927,-101.90010071,0.56293798
94,4,94,"Grays Harbor",Washington,53,027,53027,47.22360325,-123.89447403,30.82296986
95,2,95,Norman,Minnesota,27,107,27107,47.4446888,-96.62230682,14.25401808
96,2,96,Mahnomen,Minnesota,27,087,27087,47.36073112,-95.76951599,8.78898134
97,3,97,Mineral,Montana,30,061,30061,47.24368286,-115.110967,0.5542432
98,6,98,Cass,Minnesota,27,021,27021,46.84632174,-94.22743861,12.7349751
