"","lat","lon","yield"
"24",-112.75,26.25,4.113065856
"25",-112.25,26.25,5.163856745
"26",-111.75,26.25,4.675140679
"27",-111.25,26.25,3.532336099
"31",-109.25,26.25,3.160527945
"32",-108.75,26.25,2.535049717
"33",-108.25,26.25,2.584146261
"34",-107.75,26.25,2.597610752
"35",-107.25,26.25,3.758179426
"36",-106.75,26.25,3.567824125
"37",-106.25,26.25,4.751149416
"38",-105.75,26.25,4.147122304
"39",-105.25,26.25,4.3833975
"40",-104.75,26.25,4.211746852
"41",-104.25,26.25,4.108799934
"42",-103.75,26.25,3.961435318
"43",-103.25,26.25,4.03713131
"44",-102.75,26.25,4.419096879
"45",-102.25,26.25,4.336087227
"46",-101.75,26.25,4.500257015
"47",-101.25,26.25,4.598807812
"48",-100.75,26.25,5.01636982
"49",-100.25,26.25,5.747780119
"50",-99.75,26.25,5.703602518
"51",-99.25,26.25,6.08402729
"52",-98.75,26.25,6.030617714
"53",-98.25,26.25,7.805368423
"54",-97.75,26.25,8.990580559
"55",-97.25,26.25,8.299798012
"86",-81.75,26.25,0.01233826
"87",-81.25,26.25,0.012301044
"88",-80.75,26.25,0.012304566
"89",-80.25,26.25,0.0123046
"95",-77.25,26.25,11.03819002
"137",-113.75,26.75,8.516629826
"138",-113.25,26.75,7.456129247
"139",-112.75,26.75,6.177179813
"140",-112.25,26.75,5.120840073
"141",-111.75,26.75,5.008248261
"145",-109.75,26.75,3.652404717
"146",-109.25,26.75,1.950040102
"147",-108.75,26.75,2.005815029
"148",-108.25,26.75,3.172518492
"149",-107.75,26.75,3.132718325
"150",-107.25,26.75,3.189161062
"151",-106.75,26.75,3.213107586
"152",-106.25,26.75,2.915525436
"153",-105.75,26.75,3.988384008
"154",-105.25,26.75,3.826722145
"155",-104.75,26.75,3.925352097
"156",-104.25,26.75,4.236855984
"157",-103.75,26.75,4.224410057
"158",-103.25,26.75,4.07733345
"159",-102.75,26.75,3.741823912
"160",-102.25,26.75,3.978070021
"161",-101.75,26.75,4.304071495
"162",-101.25,26.75,6.015869549
"163",-100.75,26.75,6.534673827
"164",-100.25,26.75,6.603995051
"165",-99.75,26.75,6.798733303
"166",-99.25,26.75,5.913083818
"167",-98.75,26.75,6.632347703
"168",-98.25,26.75,9.487851858
"169",-97.75,26.75,9.572089911
"170",-97.25,26.75,9.446987629
"200",-82.25,26.75,0.01235078
"201",-81.75,26.75,0.012355031
"202",-81.25,26.75,0.012355744
"203",-80.75,26.75,0.012359285
"204",-80.25,26.75,0.01234773
"207",-78.75,26.75,11.28270539
"208",-78.25,26.75,10.79223676
"209",-77.75,26.75,10.77506383
"210",-77.25,26.75,10.76776006
"251",-114.25,27.25,8.566750613
"252",-113.75,27.25,8.276994012
"253",-113.25,27.25,0.012519412
"254",-112.75,27.25,7.12939167
"255",-112.25,27.25,6.384835243
"259",-110.25,27.25,2.202274799
"260",-109.75,27.25,2.444917202
"261",-109.25,27.25,2.394363199
"262",-108.75,27.25,2.670022079
"263",-108.25,27.25,3.736343384
"264",-107.75,27.25,3.087455988
"265",-107.25,27.25,3.230152607
"266",-106.75,27.25,2.947853327
"267",-106.25,27.25,3.027166843
"268",-105.75,27.25,2.972128153
"269",-105.25,27.25,5.613760551
"270",-104.75,27.25,3.877824545
"271",-104.25,27.25,4.202410221
"272",-103.75,27.25,4.25756073
"273",-103.25,27.25,4.423381805
"274",-102.75,27.25,5.683410168
"275",-102.25,27.25,4.341097832
"276",-101.75,27.25,4.387784481
"277",-101.25,27.25,4.648030996
"278",-100.75,27.25,4.736788613
"279",-100.25,27.25,5.751877512
"280",-99.75,27.25,6.571882793
"281",-99.25,27.25,5.853964686
"282",-98.75,27.25,5.779916218
"283",-98.25,27.25,5.437479019
"284",-97.75,27.25,9.808873177
"285",-97.25,27.25,7.924181938
"314",-82.75,27.25,10.38250945
"315",-82.25,27.25,0.0123604
"316",-81.75,27.25,0.01236122
"317",-81.25,27.25,0.012374984
"318",-80.75,27.25,0.012361995
"319",-80.25,27.25,0.012360319
"365",-114.75,27.75,8.828483495
"366",-114.25,27.75,8.838233081
"367",-113.75,27.75,8.673500581
"368",-113.25,27.75,8.803321448
"369",-112.75,27.75,7.853964806
"370",-112.25,27.75,4.500957557
"373",-110.75,27.75,4.717984881
"374",-110.25,27.75,2.745821646
"375",-109.75,27.75,2.575655324
"376",-109.25,27.75,4.03195858
"377",-108.75,27.75,3.03043638
"378",-108.25,27.75,3.097800527
"379",-107.75,27.75,2.976474762
"380",-107.25,27.75,2.78845048
"381",-106.75,27.75,2.612959146
"382",-106.25,27.75,2.736129999
"383",-105.75,27.75,5.74710091
"384",-105.25,27.75,5.677682559
"385",-104.75,27.75,3.216044188
"386",-104.25,27.75,4.13892746
"387",-103.75,27.75,4.097476006
"388",-103.25,27.75,5.572987398
"389",-102.75,27.75,3.992758512
"390",-102.25,27.75,4.091379642
"391",-101.75,27.75,4.304694653
"392",-101.25,27.75,4.571526845
"393",-100.75,27.75,5.366357054
"394",-100.25,27.75,5.829445975
"395",-99.75,27.75,5.387325968
"396",-99.25,27.75,5.297299794
"397",-98.75,27.75,6.752644948
"398",-98.25,27.75,5.754139764
"399",-97.75,27.75,7.315433979
"400",-97.25,27.75,8.489892006
"429",-82.75,27.75,10.59407993
"430",-82.25,27.75,10.65332738
"431",-81.75,27.75,10.81538287
"432",-81.25,27.75,10.89101358
"433",-80.75,27.75,10.95322457
"434",-80.25,27.75,0.012358795
"479",-115.25,28.25,8.77286781
"481",-114.25,28.25,8.759047335
"482",-113.75,28.25,8.830477108
"483",-113.25,28.25,8.592005643
"484",-112.75,28.25,5.825408101
"487",-111.25,28.25,2.929029124
"488",-110.75,28.25,3.397750854
"489",-110.25,28.25,3.108342034
"490",-109.75,28.25,2.562277147
"491",-109.25,28.25,5.056239537
"492",-108.75,28.25,4.11638907
"493",-108.25,28.25,3.620129313
"494",-107.75,28.25,3.472184454
"495",-107.25,28.25,2.694291472
"496",-106.75,28.25,2.653864026
"497",-106.25,28.25,2.77374506
"498",-105.75,28.25,2.910609722
"499",-105.25,28.25,6.162779331
"500",-104.75,28.25,6.158481042
"501",-104.25,28.25,6.270686785
"502",-103.75,28.25,6.214367946
"503",-103.25,28.25,4.971816937
"504",-102.75,28.25,4.099952221
"505",-102.25,28.25,4.117056847
