# switchgrass and miscanthus yields from Miguez, F. E., Maughan, M., Bollero, G. A., & Long, S. P. (2012). Modeling spatial and dynamic variation in growth, yield, and yield stability of the bioenergy crops Miscanthus× giganteus and Panicum virgatum across the conterminous United States. Gcb Bioenergy, 4(5), 509-520. http://dx.doi.org/10.1111/j.1757-1707.2011.01150.x
# poplar yields from: Dan Wang, David LeBauer, and Michael Dietze 2013. Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model–data synthesis. Ecological Applications 23:944–958. http://dx.doi.org/10.1890/12-0854.1
# evapotranspiration and cornstover yield data from: VanLoocke, Andy, Tracy E. Twine, Marcelo Zeri, and Carl J. Bernacchi. "A regional comparison of water use efficiency for miscanthus, switchgrass and maize." Agricultural and Forest Meteorology 164 (2012): 82-95. http://dx.doi.org/10.1016/j.agrformet.2012.05.016
# county-level yield and evapotranspiration data is derived from gridded model output
"fips","state_abbrev","cornstover_yield","miscanthus_yield","switchgrass_yield","energycane_yield","cornstover_cost","miscanthus_cost","switchgrass_cost","energycane_cost","least_cost_crop","least_cost_crop_id","state","county","lat","lon","state_fips","county_fips","willow_yield","poplar_yield"
1001,"AL",4.397,28.087243,15.711573,0,211.175,58.063,64.939,0,"Miscanthus",3,"Alabama","Autauga",32.52478738,-86.63770638,1,1,2.95665119108037,9.10087936280332
1003,"AL",5.956,30.760366,17.541727,45.66564,129.089,53.963,58.822,44.742,"Energycane",5,"Alabama","Baldwin",30.58720177,-87.71905612,1,3,2.18750769080864,9.23088297321182
1005,"AL",5.337,24.261185,15.084199,0,141.901,54.087,53.904,0,"Switchgrass",4,"Alabama","Barbour",31.8161686,-85.4180688,1,5,2.49443779423985,8.27536875717509
1007,"AL",0,21.993568,16.547526,0,0,74.799,72.478,0,"Switchgrass",4,"Alabama","Bibb",33.03272838,-87.08073063,1,7,3.15639999044209,9.86376747772061
1009,"AL",7.124,21.121214,11.805854,0,153.446,63.273,69.518,0,"Miscanthus",3,"Alabama","Blount",33.95194386,-86.582932,1,9,4.68417995233372,10.7108736437501
1011,"AL",0,21.517415,12.462122,0,0,76.14,87.871,0,"Miscanthus",3,"Alabama","Bullock",32.10515375,-85.71408825,1,11,2.66230977560578,8.40209883641758
1013,"AL",9.499,25.13819,15.481928,0,146.289,67.879,74.308,0,"Miscanthus",3,"Alabama","Butler",31.6921958,-86.7032796,1,13,2.64758185117236,8.80977786987788
1015,"AL",5.497,22.433626,13.260868,0,128.905,62.293,66.551,0,"Miscanthus",3,"Alabama","Calhoun",33.76730529,-85.83004135,1,15,4.18916716397062,10.1930750267581
1017,"AL",0,19.526057,10.252285,0,0,64.156,72.472,0,"Miscanthus",3,"Alabama","Chambers",32.8801192,-85.3072474,1,17,2.81906540861225,8.9598816801117
1019,"AL",5.475,20.826611,13.028238,0,133.971,64.872,67.037,0,"Miscanthus",3,"Alabama","Cherokee",34.1930998,-85.6118958,1,19,4.90986756998081,10.5933136251693
1021,"AL",4.109,24.467986,14.055476,0,140.453,51.928,52.928,0,"Miscanthus",3,"Alabama","Chilton",32.84828114,-86.73656786,1,21,3.07843896994029,9.51155154754322
1023,"AL",0,24.717511,16.969643,0,0,70.726,72.901,0,"Miscanthus",3,"Alabama","Choctaw",32.05194136,-88.21056609,1,23,2.7763067685484,9.43845760797156
1025,"AL",0,23.103316,14.75465,0,0,74.313,80.537,0,"Miscanthus",3,"Alabama","Clarke",31.66211736,-87.848348,1,25,2.61885198316155,9.28733155152421
1027,"AL",0,21.062006,12.408168,0,0,76.921,87.71,0,"Miscanthus",3,"Alabama","Clay",33.24731133,-85.862191,1,27,3.23641248626503,9.60952193025802
1029,"AL",0,23.522496,12.198502,0,0,75.764,95.698,0,"Miscanthus",3,"Alabama","Cleburne",33.6815862,-85.4502488,1,29,3.9203599199612,9.93990009347731
1031,"AL",5.539,24.946321,14.639938,0,165.505,49.854,49.494,0,"Switchgrass",4,"Alabama","Coffee",31.3705865,-85.99217083,1,31,2.47230264927109,8.50977866667862
1033,"AL",6.628,25.684006,15.517989,0,124.018,50.075,49.498,0,"Switchgrass",4,"Alabama","Colbert",34.71399883,-87.76102183,1,33,5.48374299616012,12.0570413264603
1035,"AL",4.429,25.512416,16.83849,0,158.862,51.953,50.018,0,"Switchgrass",4,"Alabama","Conecuh",31.43869867,-87.08042433,1,35,2.54490838210993,8.96572169176641
1037,"AL",0,21.734366,12.342067,0,0,72.056,82.89,0,"Miscanthus",3,"Alabama","Coosa",32.9465996,-86.1511956,1,37,3.06706808489764,9.38329746291237
1039,"AL",4.355,26.935642,15.597858,0,181.186,50.155,51.148,0,"Miscanthus",3,"Alabama","Covington",31.206252,-86.43510463,1,39,2.4746134292461,8.69381572185803
1041,"AL",0,25.030287,14.618949,0,0,74.015,86.104,0,"Miscanthus",3,"Alabama","Crenshaw",31.71421375,-86.318535,1,41,2.66105470948693,8.64950018860584
1043,"AL",5.102,22.113831,10.875062,0,144.897,57.238,65.29,0,"Miscanthus",3,"Alabama","Cullman",34.133397,-86.85571092,1,43,5.04035141620393,11.0290500186264
1045,"AL",4.515,27.44192,15.791613,0,231.318,68.773,80.025,0,"Miscanthus",3,"Alabama","Dale",31.3891224,-85.616952,1,45,2.39613000771527,8.3529293012617
1047,"AL",4.75,25.001087,13.801867,0,137.565,49.853,50.949,0,"Miscanthus",3,"Alabama","Dallas",32.3533043,-87.1081816,1,47,2.89592009044464,9.09950345609304
1049,"AL",5.369,22.105364,11.531746,0,124.872,63.673,73.951,0,"Miscanthus",3,"Alabama","DeKalb",34.46799723,-85.78281403,1,49,5.47016028423974,10.9780877794204
1051,"AL",5.465,22.003297,14.65532,0,130.806,52.892,49.412,0,"Switchgrass",4,"Alabama","Elmore",32.6020686,-86.1777687,1,51,2.95152575301472,8.99942347978703
1053,"AL",5.337,27.853069,17.116713,41.705217,137.333,53.774,55.282,47.161,"Energycane",5,"Alabama","Escambia",31.10876957,-87.30583986,1,53,2.4110805534068,9.05859610579707
1055,"AL",5.219,20.354607,11.514635,0,143.016,61.029,64.962,0,"Miscanthus",3,"Alabama","Etowah",34.01461282,-86.06183245,1,55,4.71619550706726,10.570987387737
