STATEFP,STATE,County_FIPS,County_NAME,stover_yield
1,AL,1001,Autauga,4.397
1,AL,1003,Baldwin,5.956
1,AL,1005,Barbour,5.337
1,AL,1007,Bibb,0
1,AL,1009,Blount,7.124
1,AL,1011,Bullock,0
1,AL,1013,Butler,9.499
1,AL,1015,Calhoun,5.497
1,AL,1017,Chambers,0
1,AL,1019,Cherokee,5.475
1,AL,1021,Chilton,4.109
1,AL,1023,Choctaw,0
1,AL,1025,Clarke,0
1,AL,1027,Clay,0
1,AL,1029,Cleburne,0
1,AL,1031,Coffee,5.539
1,AL,1033,Colbert,6.628
1,AL,1035,Conecuh,4.429
1,AL,1037,Coosa,0
1,AL,1039,Covington,4.355
1,AL,1041,Crenshaw,0
1,AL,1043,Cullman,5.102
1,AL,1045,Dale,4.515
1,AL,1047,Dallas,4.75
1,AL,1049,DeKalb,5.369
1,AL,1051,Elmore,5.465
1,AL,1053,Escambia,5.337
1,AL,1055,Etowah,5.219
1,AL,1057,Fayette,4.525
1,AL,1059,Franklin,6.084
1,AL,1061,Geneva,5.358
1,AL,1063,Greene,4.509
1,AL,1065,Hale,4.563
1,AL,1067,Henry,5.262
1,AL,1069,Houston,5.294
1,AL,1071,Jackson,5.401
1,AL,1073,Jefferson,0
1,AL,1075,Lamar,4.99
1,AL,1077,Lauderdale,6.062
1,AL,1079,Lawrence,6.297
1,AL,1081,Lee,0
1,AL,1083,Limestone,6.66
1,AL,1085,Lowndes,0
1,AL,1087,Macon,6.457
1,AL,1089,Madison,6.351
1,AL,1091,Marengo,3.469
1,AL,1093,Marion,5.203
1,AL,1095,Marshall,5.038
1,AL,1097,Mobile,5.71
1,AL,1099,Monroe,5.283
1,AL,1101,Montgomery,5.71
1,AL,1103,Morgan,5.401
1,AL,1105,Perry,5.71
1,AL,1107,Pickens,0
1,AL,1109,Pike,4.899
1,AL,1111,Randolph,2.935
1,AL,1113,Russell,0
1,AL,1115,St. Clair,0
1,AL,1117,Shelby,5.337
1,AL,1119,Sumter,3.309
1,AL,1121,Talladega,5.561
1,AL,1123,Tallapoosa,4.216
1,AL,1125,Tuscaloosa,5.273
1,AL,1127,Walker,0
1,AL,1129,Washington,4.846
1,AL,1131,Wilcox,5.07
1,AL,1133,Winston,0
4,AZ,4001,Apache,0
4,AZ,4003,Cochise,9.887
4,AZ,4005,Coconino,0
4,AZ,4007,Gila,0
4,AZ,4009,Graham,10.273
4,AZ,4011,Greenlee,0
4,AZ,4012,La Paz,0
4,AZ,4013,Maricopa,10.128
4,AZ,4015,Mohave,0
4,AZ,4017,Navajo,0
4,AZ,4019,Pima,0
4,AZ,4021,Pinal,10.085
4,AZ,4023,Santa Cruz,0
4,AZ,4025,Yavapai,0
4,AZ,4027,Yuma,10.206
5,AR,5001,Arkansas,9.606
5,AR,5003,Ashley,7.805
5,AR,5005,Baxter,0
5,AR,5007,Benton,0
5,AR,5009,Boone,0
5,AR,5011,Bradley,0
5,AR,5013,Calhoun,0
5,AR,5015,Carroll,0
5,AR,5017,Chicot,7.727
5,AR,5019,Clark,0
5,AR,5021,Clay,8.731
5,AR,5023,Cleburne,0
5,AR,5025,Cleveland,0
5,AR,5027,Columbia,0
5,AR,5029,Conway,7.578
5,AR,5031,Craighead,8.314
5,AR,5033,Crawford,6.457
5,AR,5035,Crittenden,7.044
5,AR,5037,Cross,6.137
5,AR,5039,Dallas,0
5,AR,5041,Desha,9.136
5,AR,5043,Drew,8.307
5,AR,5045,Faulkner,6.964
5,AR,5047,Franklin,5.07
5,AR,5049,Fulton,0
5,AR,5051,Garland,0
5,AR,5053,Grant,0
5,AR,5055,Greene,7.759
5,AR,5057,Hempstead,0
5,AR,5059,Hot Spring,0
5,AR,5061,Howard,0
5,AR,5063,Independence,6.415
5,AR,5065,Izard,0
5,AR,5067,Jackson,7.749
5,AR,5069,Jefferson,8.987
5,AR,5071,Johnson,6.898
5,AR,5073,Lafayette,7.119
5,AR,5075,Lawrence,0
5,AR,5077,Lee,8.282
5,AR,5079,Lincoln,7.418
5,AR,5081,Little River,7.055
5,AR,5083,Logan,7.343
5,AR,5085,Lonoke,8.805
