# Deepak Jaiswal et al, in prep. Please do not reuse prior to publication without consent of authors
"lat","lon","yield"
28.53,-99.98,4.49
28.81,-99.95,5.66
29.08,-99.92,6.28
29.35,-99.89,9.51
29.63,-99.86,11.88
29.9,-99.83,18.65
30.18,-99.8,23.14
30.45,-99.77,6.38
30.73,-99.73,2.49
27.96,-99.73,1.1
28.24,-99.7,1.87
28.51,-99.67,1.84
28.78,-99.64,6.09
29.05,-99.6,9.16
29.33,-99.57,10.52
29.6,-99.54,13.65
29.88,-99.51,15.63
30.15,-99.48,20.04
30.43,-99.45,20.05
30.7,-99.41,17.09
30.98,-99.38,13.09
27.39,-99.48,0.03
27.67,-99.45,0.5
27.94,-99.42,0.46
28.21,-99.39,1.88
28.48,-99.36,2.94
28.75,-99.32,8.1
29.03,-99.29,9.85
29.3,-99.26,8.79
29.57,-99.23,10.74
29.85,-99.19,16.04
30.12,-99.16,14.81
30.4,-99.13,14.81
30.67,-99.09,12.79
30.95,-99.06,9.81
26.83,-99.24,1.78
27.1,-99.21,2.91
27.37,-99.18,2.61
27.64,-99.14,0.88
27.91,-99.11,0.99
28.18,-99.08,1.68
28.45,-99.05,5.01
28.72,-99.01,7.17
29,-98.98,11.73
29.27,-98.95,10.57
29.54,-98.91,12.27
29.82,-98.88,16.22
30.09,-98.84,16.1
30.37,-98.81,14.43
30.64,-98.77,11.01
30.92,-98.74,9.74
26.53,-98.97,3.13
26.8,-98.94,2.53
27.07,-98.9,3.22
27.34,-98.87,4.56
27.61,-98.84,6.42
27.88,-98.8,5.74
28.15,-98.77,8.82
28.42,-98.74,8.26
28.7,-98.7,17.22
28.97,-98.67,14.07
29.24,-98.63,12.89
29.51,-98.6,15.69
29.79,-98.56,17.38
30.06,-98.53,17.83
30.34,-98.49,13.24
30.61,-98.45,11.17
30.89,-98.42,10.49
26.5,-98.67,3.85
26.77,-98.64,3.87
27.04,-98.6,5.37
27.31,-98.57,6.27
27.58,-98.53,7.94
27.85,-98.5,12.09
28.12,-98.46,11.5
28.39,-98.43,23.69
28.66,-98.39,13.88
28.94,-98.36,13.85
29.21,-98.32,13.7
29.48,-98.28,14.83
29.76,-98.25,15.24
30.03,-98.21,16.46
30.31,-98.17,14.89
30.58,-98.13,11.87
30.86,-98.09,11.28
26.2,-98.4,4.53
26.47,-98.37,4.87
26.74,-98.33,10.08
27.01,-98.3,22.83
27.28,-98.26,10.5
27.55,-98.23,17.76
27.82,-98.19,28.08
28.09,-98.16,24.26
28.36,-98.12,19.28
28.63,-98.08,16.99
28.9,-98.04,17.05
29.18,-98.01,15.05
29.45,-97.97,14.65
29.72,-97.93,14.34
30,-97.89,15.09
30.27,-97.85,14.84
30.55,-97.81,14.13
30.82,-97.77,13.11
26.17,-98.1,7.6
26.44,-98.07,8.6
26.71,-98.03,5.62
26.97,-98,23.73
27.24,-97.96,11.01
27.51,-97.92,26.63
27.78,-97.89,27.82
28.06,-97.85,24.29
28.33,-97.81,23.39
28.6,-97.77,21.5
28.87,-97.73,18.14
29.14,-97.69,16.96
29.42,-97.65,15.31
29.69,-97.62,13.51
29.96,-97.58,13.27
30.24,-97.53,14.07
30.51,-97.49,14.6
30.79,-97.45,13.27
26.14,-97.81,6.37
26.4,-97.77,6.88
26.67,-97.73,6.76
26.94,-97.69,6.26
27.21,-97.66,24.96
27.48,-97.62,29.45
27.75,-97.58,28.45
28.02,-97.54,28.61
28.29,-97.5,26.38
28.56,-97.46,22.56
28.84,-97.42,19.94
29.11,-97.38,19.31
29.38,-97.34,19.37
29.66,-97.3,16.17
29.93,-97.26,14.88
30.2,-97.22,12.4
30.48,-97.18,11.59
30.75,-97.13,14.4
26.1,-97.51,24.11
27.99,-97.23,0.01
28.26,-97.19,29
28.53,-97.15,25.95
28.8,-97.11,24.62
29.07,-97.07,23.94
29.35,-97.03,20.9
29.62,-96.99,18.57
29.89,-96.94,16.89
30.17,-96.9,12.65
30.44,-96.86,13.9
30.71,-96.81,15.75
30.99,-96.77,20.35
28.49,-96.84,32.51
28.76,-96.8,30.4
29.04,-96.76,26.47
29.31,-96.72,24.13
29.58,-96.67,21.91
29.85,-96.63,17.67
30.13,-96.58,17.47
30.4,-96.54,16.18
30.68,-96.49,19.68
30.95,-96.45,24.46
28.46,-96.53,31.41
28.73,-96.49,35.67
29,-96.45,31.16
29.27,-96.4,26.98
29.54,-96.36,24.06
29.82,-96.31,21.63
30.09,-96.27,21.81
30.36,-96.22,22.31
30.64,-96.18,25.53
30.91,-96.13,26.53
28.69,-96.18,33.45
28.96,-96.14,35.35
29.23,-96.09,31.36
29.5,-96.04,28.64
29.78,-96,29.97
30.05,-95.95,27.17
30.32,-95.9,27.23
30.6,-95.86,27.67
30.87,-95.81,30.8
28.92,-95.83,33.58
29.19,-95.78,35.84
29.46,-95.73,34.98
29.74,-95.68,33.77
30.01,-95.64,35.97
30.28,-95.59,36.97
30.55,-95.54,32.55
30.83,-95.49,32.94
29.15,-95.47,38.48
29.42,-95.42,38.27
29.69,-95.37,37.27
29.97,-95.32,39.83
30.24,-95.27,40.17
30.51,-95.22,39.07
30.79,-95.17,35.12
29.38,-95.11,39.21
29.65,-95.06,36.53
29.92,-95.01,38.38
30.19,-94.96,39.48
30.47,-94.9,38.73
30.74,-94.85,37.14
29.88,-94.69,38.4
30.15,-94.64,38.49
30.42,-94.59,39.19
30.7,-94.53,37.2
30.97,-94.48,34.67
29.83,-94.38,39.85
30.1,-94.32,39.02
30.38,-94.27,38.75
30.65,-94.22,37.54
30.92,-94.16,34.61
29.78,-94.06,35.75
30.06,-94.01,42.59
30.33,-93.95,40.27
30.6,-93.9,38.2
30.87,-93.84,35.82
30.01,-93.7,42.83
30.28,-93.64,41.76
30.55,-93.58,40.17
30.83,-93.52,37.47
29.96,-93.38,41.24
30.23,-93.32,42.2
30.5,-93.27,39.79
30.78,-93.21,38.48
29.91,-93.07,37.88
30.18,-93.01,40.14
30.45,-92.95,38.82
30.72,-92.89,38.78
31,-92.83,39.76
29.86,-92.76,39.45
30.13,-92.7,39.94
30.4,-92.63,39.66
30.67,-92.57,39.79
30.94,-92.51,38.78
29.8,-92.44,38.32
30.07,-92.38,38.76
30.35,-92.32,40.17
30.62,-92.26,40.14
30.89,-92.19,36.35
29.75,-92.13,36.33
30.02,-92.07,38.62
30.29,-92.01,40.24
30.56,-91.94,37.3
30.83,-91.88,35.82
29.97,-91.76,37.48
30.24,-91.69,38.82
30.51,-91.63,38.24
