STATEFP,STATE,County_FIPS,County_NAME,miscanthus_yield
1,AL,1001,Autauga,28.087243
1,AL,1003,Baldwin,30.760366
1,AL,1005,Barbour,24.261185
1,AL,1007,Bibb,21.993568
1,AL,1009,Blount,21.121214
1,AL,1011,Bullock,21.517415
1,AL,1013,Butler,25.13819
1,AL,1015,Calhoun,22.433626
1,AL,1017,Chambers,19.526057
1,AL,1019,Cherokee,20.826611
1,AL,1021,Chilton,24.467986
1,AL,1023,Choctaw,24.717511
1,AL,1025,Clarke,23.103316
1,AL,1027,Clay,21.062006
1,AL,1029,Cleburne,23.522496
1,AL,1031,Coffee,24.946321
1,AL,1033,Colbert,25.684006
1,AL,1035,Conecuh,25.512416
1,AL,1037,Coosa,21.734366
1,AL,1039,Covington,26.935642
1,AL,1041,Crenshaw,25.030287
1,AL,1043,Cullman,22.113831
1,AL,1045,Dale,27.44192
1,AL,1047,Dallas,25.001087
1,AL,1049,DeKalb,22.105364
1,AL,1051,Elmore,22.003297
1,AL,1053,Escambia,27.853069
1,AL,1055,Etowah,20.354607
1,AL,1057,Fayette,22.512128
1,AL,1059,Franklin,17.495
1,AL,1061,Geneva,28.826059
1,AL,1063,Greene,21.271531
1,AL,1065,Hale,24.663685
1,AL,1067,Henry,26.418976
1,AL,1069,Houston,27.148728
1,AL,1071,Jackson,26.505894
1,AL,1073,Jefferson,20.666253
1,AL,1075,Lamar,22.785343
1,AL,1077,Lauderdale,25.441765
1,AL,1079,Lawrence,27.266511
1,AL,1081,Lee,21.110468
1,AL,1083,Limestone,28.314889
1,AL,1085,Lowndes,22.813025
1,AL,1087,Macon,20.683093
1,AL,1089,Madison,27.008872
1,AL,1091,Marengo,25.652201
1,AL,1093,Marion,20.319517
1,AL,1095,Marshall,22.620034
1,AL,1097,Mobile,28.922169
1,AL,1099,Monroe,25.700517
1,AL,1101,Montgomery,26.036567
1,AL,1103,Morgan,25.349948
1,AL,1105,Perry,26.51314
1,AL,1107,Pickens,27.767301
1,AL,1109,Pike,21.419772
1,AL,1111,Randolph,21.084636
1,AL,1113,Russell,21.211143
1,AL,1115,St. Clair,21.045784
1,AL,1117,Shelby,20.54257
1,AL,1119,Sumter,24.997817
1,AL,1121,Talladega,22.434539
1,AL,1123,Tallapoosa,22.229766
1,AL,1125,Tuscaloosa,21.739491
1,AL,1127,Walker,22.157056
1,AL,1129,Washington,23.912666
1,AL,1131,Wilcox,25.970048
1,AL,1133,Winston,22.230291
4,AZ,4001,Apache,0.036292
4,AZ,4003,Cochise,0.045426
