"id","lat","long","species","specie_id","variable_id","value"
1,-104.25,37.25,"pavi",938,470,413.357985240043
2,-103.75,37.25,"pavi",938,470,412.195000362932
3,-103.25,37.25,"pavi",938,470,407.507841407089
4,-102.75,37.25,"pavi",938,470,416.220819564012
5,-102.25,37.25,"pavi",938,470,404.301194056723
6,-101.75,37.25,"pavi",938,470,411.600888404908
7,-101.25,37.25,"pavi",938,470,412.073852923815
8,-100.75,37.25,"pavi",938,470,425.375236273569
9,-100.25,37.25,"pavi",938,470,432.794437996228
10,-99.75,37.25,"pavi",938,470,432.514252664172
11,-99.25,37.25,"pavi",938,470,431.277737651719
12,-98.75,37.25,"pavi",938,470,426.023743005935
13,-98.25,37.25,"pavi",938,470,444.155227025811
14,-97.75,37.25,"pavi",938,470,432.819247957028
15,-97.25,37.25,"pavi",938,470,430.719589618617
16,-96.75,37.25,"pavi",938,470,427.544880079338
17,-96.25,37.25,"pavi",938,470,422.882106746023
18,-95.75,37.25,"pavi",938,470,412.541544987005
19,-95.25,37.25,"pavi",938,470,415.729747230827
20,-94.25,37.25,"pavi",938,470,434.53455845904
21,-93.75,37.25,"pavi",938,470,442.223852166906
22,-93.25,37.25,"pavi",938,470,444.324667558227
23,-92.75,37.25,"pavi",938,470,427.495415042038
24,-92.25,37.25,"pavi",938,470,416.112992325798
25,-91.75,37.25,"pavi",938,470,398.409811116057
26,-91.25,37.25,"pavi",938,470,384.430367886584
27,-90.75,37.25,"pavi",938,470,367.178201959134
28,-90.25,37.25,"pavi",938,470,344.944863044773
29,-89.75,37.25,"pavi",938,470,338.159511809703
30,-89.25,37.25,"pavi",938,470,325.352282299777
31,-88.75,37.25,"pavi",938,470,335.016209840076
32,-88.25,37.25,"pavi",938,470,337.812978569738
33,-87.75,37.25,"pavi",938,470,322.092407475749
34,-87.25,37.25,"pavi",938,470,309.873758979782
35,-86.75,37.25,"pavi",938,470,303.215816168638
36,-86.25,37.25,"pavi",938,470,321.375241184316
