# Dan Wang, David LeBauer, and Michael Dietze 2013. Predicting yields of short-rotation hybrid poplar (Populus spp.) for the United States through model–data synthesis. Ecological Applications 23:944–958. http://dx.doi.org/10.1890/12-0854.1
"lon","lat","poplar_yield"
-112.75,26.25,4.11
-112.25,26.25,5.16
-111.75,26.25,4.68
-111.25,26.25,3.53
-109.25,26.25,3.16
-108.75,26.25,2.54
-108.25,26.25,2.58
-107.75,26.25,2.6
-107.25,26.25,3.76
-106.75,26.25,3.57
-106.25,26.25,4.75
-105.75,26.25,4.15
-105.25,26.25,4.38
-104.75,26.25,4.21
-104.25,26.25,4.11
-103.75,26.25,3.96
-103.25,26.25,4.04
-102.75,26.25,4.42
-102.25,26.25,4.34
-101.75,26.25,4.5
-101.25,26.25,4.6
-100.75,26.25,5.02
-100.25,26.25,5.75
-99.75,26.25,5.7
-99.25,26.25,6.08
-98.75,26.25,6.03
-98.25,26.25,7.81
-97.75,26.25,8.99
-97.25,26.25,8.3
-81.75,26.25,0.0123
-81.25,26.25,0.0123
-80.75,26.25,0.0123
-80.25,26.25,0.0123
-77.25,26.25,11
-113.75,26.75,8.52
-113.25,26.75,7.46
-112.75,26.75,6.18
-112.25,26.75,5.12
-111.75,26.75,5.01
-109.75,26.75,3.65
-109.25,26.75,1.95
-108.75,26.75,2.01
-108.25,26.75,3.17
-107.75,26.75,3.13
-107.25,26.75,3.19
-106.75,26.75,3.21
-106.25,26.75,2.92
-105.75,26.75,3.99
-105.25,26.75,3.83
-104.75,26.75,3.93
-104.25,26.75,4.24
-103.75,26.75,4.22
-103.25,26.75,4.08
-102.75,26.75,3.74
-102.25,26.75,3.98
-101.75,26.75,4.3
-101.25,26.75,6.02
-100.75,26.75,6.53
-100.25,26.75,6.6
-99.75,26.75,6.8
-99.25,26.75,5.91
-98.75,26.75,6.63
-98.25,26.75,9.49
-97.75,26.75,9.57
-97.25,26.75,9.45
-82.25,26.75,0.0124
-81.75,26.75,0.0124
-81.25,26.75,0.0124
-80.75,26.75,0.0124
-80.25,26.75,0.0123
-78.75,26.75,11.3
-78.25,26.75,10.8
-77.75,26.75,10.8
-77.25,26.75,10.8
-114.25,27.25,8.57
-113.75,27.25,8.28
-113.25,27.25,0.0125
-112.75,27.25,7.13
-112.25,27.25,6.38
-110.25,27.25,2.2
-109.75,27.25,2.44
-109.25,27.25,2.39
-108.75,27.25,2.67
-108.25,27.25,3.74
-107.75,27.25,3.09
-107.25,27.25,3.23
-106.75,27.25,2.95
-106.25,27.25,3.03
-105.75,27.25,2.97
-105.25,27.25,5.61
-104.75,27.25,3.88
-104.25,27.25,4.2
-103.75,27.25,4.26
-103.25,27.25,4.42
-102.75,27.25,5.68
-102.25,27.25,4.34
-101.75,27.25,4.39
-101.25,27.25,4.65
-100.75,27.25,4.74
-100.25,27.25,5.75
-99.75,27.25,6.57
-99.25,27.25,5.85
-98.75,27.25,5.78
-98.25,27.25,5.44
-97.75,27.25,9.81
-97.25,27.25,7.92
-82.75,27.25,10.4
-82.25,27.25,0.0124
-81.75,27.25,0.0124
-81.25,27.25,0.0124
-80.75,27.25,0.0124
-80.25,27.25,0.0124
-114.75,27.75,8.83
-114.25,27.75,8.84
-113.75,27.75,8.67
-113.25,27.75,8.8
-112.75,27.75,7.85
-112.25,27.75,4.5
-110.75,27.75,4.72
-110.25,27.75,2.75
-109.75,27.75,2.58
-109.25,27.75,4.03
-108.75,27.75,3.03
-108.25,27.75,3.1
-107.75,27.75,2.98
-107.25,27.75,2.79
-106.75,27.75,2.61
-106.25,27.75,2.74
-105.75,27.75,5.75
-105.25,27.75,5.68
-104.75,27.75,3.22
-104.25,27.75,4.14
-103.75,27.75,4.1
-103.25,27.75,5.57
-102.75,27.75,3.99
-102.25,27.75,4.09
-101.75,27.75,4.3
-101.25,27.75,4.57
-100.75,27.75,5.37
-100.25,27.75,5.83
-99.75,27.75,5.39
-99.25,27.75,5.3
-98.75,27.75,6.75
-98.25,27.75,5.75
-97.75,27.75,7.32
-97.25,27.75,8.49
-82.75,27.75,10.6
-82.25,27.75,10.7
-81.75,27.75,10.8
-81.25,27.75,10.9
-80.75,27.75,11
-80.25,27.75,0.0124
-115.25,28.25,8.77
-114.25,28.25,8.76
-113.75,28.25,8.83
-113.25,28.25,8.59
-112.75,28.25,5.83
-111.25,28.25,2.93
-110.75,28.25,3.4
-110.25,28.25,3.11
-109.75,28.25,2.56
-109.25,28.25,5.06
-108.75,28.25,4.12
-108.25,28.25,3.62
-107.75,28.25,3.47
-107.25,28.25,2.69
-106.75,28.25,2.65
-106.25,28.25,2.77
-105.75,28.25,2.91
-105.25,28.25,6.16
-104.75,28.25,6.16
-104.25,28.25,6.27
-103.75,28.25,6.21
-103.25,28.25,4.97
-102.75,28.25,4.1
-102.25,28.25,4.12
-101.75,28.25,4.05
-101.25,28.25,4.54
-100.75,28.25,5.19
-100.25,28.25,4.24
-99.75,28.25,4.51
-99.25,28.25,6.04
-98.75,28.25,6.08
-98.25,28.25,7.58
-97.75,28.25,8.02
-97.25,28.25,8.92
-96.75,28.25,9.03
-82.75,28.25,11.1
-82.25,28.25,11.1
-81.75,28.25,11.2
-81.25,28.25,11.2
-80.75,28.25,11.1
-114.25,28.75,8.82
-113.75,28.75,8.76
-113.25,28.75,8.55
-112.25,28.75,4.27
-111.75,28.75,2.3
-111.25,28.75,2.74
-110.75,28.75,4.22
-110.25,28.75,4.17
-109.75,28.75,3.36
-109.25,28.75,3.23
-108.75,28.75,3.18
-108.25,28.75,3.28
