# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
"state","county","abbrev","lat","lon","state_fips","county_fips","fips","willow_yield"
"Alabama","Autauga","AL",32.52,-86.64,1,1,1001,2.96
"Alabama","Baldwin","AL",30.59,-87.72,1,3,1003,2.19
"Alabama","Barbour","AL",31.82,-85.42,1,5,1005,2.49
"Alabama","Bibb","AL",33.03,-87.08,1,7,1007,3.16
"Alabama","Blount","AL",33.95,-86.58,1,9,1009,4.68
"Alabama","Bullock","AL",32.11,-85.71,1,11,1011,2.66
"Alabama","Butler","AL",31.69,-86.7,1,13,1013,2.65
"Alabama","Calhoun","AL",33.77,-85.83,1,15,1015,4.19
"Alabama","Chambers","AL",32.88,-85.31,1,17,1017,2.82
"Alabama","Cherokee","AL",34.19,-85.61,1,19,1019,4.91
"Alabama","Chilton","AL",32.85,-86.74,1,21,1021,3.08
"Alabama","Choctaw","AL",32.05,-88.21,1,23,1023,2.78
"Alabama","Clarke","AL",31.66,-87.85,1,25,1025,2.62
"Alabama","Clay","AL",33.25,-85.86,1,27,1027,3.24
"Alabama","Cleburne","AL",33.68,-85.45,1,29,1029,3.92
"Alabama","Coffee","AL",31.37,-85.99,1,31,1031,2.47
"Alabama","Colbert","AL",34.71,-87.76,1,33,1033,5.48
"Alabama","Conecuh","AL",31.44,-87.08,1,35,1035,2.54
"Alabama","Coosa","AL",32.95,-86.15,1,37,1037,3.07
"Alabama","Covington","AL",31.21,-86.44,1,39,1039,2.47
"Alabama","Crenshaw","AL",31.71,-86.32,1,41,1041,2.66
"Alabama","Cullman","AL",34.13,-86.86,1,43,1043,5.04
"Alabama","Dale","AL",31.39,-85.62,1,45,1045,2.4
"Alabama","Dallas","AL",32.35,-87.11,1,47,1047,2.9
"Alabama","DeKalb","AL",34.47,-85.78,1,49,1049,5.47
"Alabama","Elmore","AL",32.6,-86.18,1,51,1051,2.95
"Alabama","Escambia","AL",31.11,-87.31,1,53,1053,2.41
