# Deepak Jaiswal, David LeBauer, Dan Wang, Tim Wertin, and Steve Long, in prep. Please do not reuse prior to publication without consent of authors
"lat","lon","yield"
38.96,-123.56,12.6
39.24,-123.64,14.3
39.52,-123.72,14.34
39.8,-123.8,12.73
40.36,-123.97,14.14
40.64,-124.06,13.74
38.74,-123.12,10.86
39.02,-123.2,10.31
39.3,-123.28,11.54
39.58,-123.36,9.42
39.87,-123.44,12.4
40.15,-123.52,12.58
40.43,-123.6,12.59
40.71,-123.69,13.58
40.99,-123.77,13.23
41.27,-123.86,14.07
42.12,-124.12,14.24
42.4,-124.21,14.65
42.96,-124.39,14.56
37.96,-122.53,10.72
38.24,-122.61,13.44
38.52,-122.68,8.05
38.8,-122.76,7.53
39.08,-122.84,11.96
39.37,-122.91,12.08
39.65,-122.99,11.78
39.93,-123.07,11.18
40.21,-123.15,12.5
40.49,-123.23,10.84
40.77,-123.32,11.8
41.05,-123.4,11.79
41.33,-123.48,10.82
41.62,-123.57,12.34
41.9,-123.65,11.19
42.18,-123.74,13.28
42.46,-123.83,13.55
42.75,-123.91,13.72
43.03,-124,14.22
43.31,-124.09,14.57
37.18,-121.96,9.01
37.46,-122.03,9.74
37.74,-122.1,6.93
38.02,-122.18,9.94
38.3,-122.25,9.15
38.58,-122.32,4.69
38.86,-122.4,5.89
39.14,-122.47,3.65
39.43,-122.55,2.9
39.71,-122.63,10.34
39.99,-122.71,3.84
40.27,-122.78,2.77
40.55,-122.86,11.57
40.83,-122.94,10.26
41.11,-123.03,10.62
41.4,-123.11,10.94
41.68,-123.19,10.83
41.96,-123.27,11.68
42.24,-123.36,12.07
42.53,-123.44,12.75
42.81,-123.53,13.54
43.09,-123.62,13.02
43.37,-123.7,14.08
43.66,-123.79,14.49
43.94,-123.88,13.86
44.22,-123.97,14.51
35.84,-121.27,4.4
36.12,-121.34,7.45
36.4,-121.4,5.54
36.68,-121.47,6.58
36.96,-121.54,9.4
37.24,-121.61,6.27
37.52,-121.68,5.68
37.8,-121.75,8.81
38.08,-121.82,4.51
38.36,-121.89,4.26
38.64,-121.96,5.47
38.92,-122.04,4.01
39.2,-122.11,2.4
39.48,-122.19,3.13
39.77,-122.26,5.93
40.05,-122.34,3.93
40.33,-122.42,3.94
40.61,-122.49,4.37
40.89,-122.57,11.68
41.18,-122.65,11.56
41.46,-122.73,10.76
41.74,-122.81,9.77
42.02,-122.89,11.92
42.31,-122.98,11.53
42.59,-123.06,12.13
42.87,-123.14,13.25
43.16,-123.23,13.2
43.44,-123.31,13.56
43.72,-123.4,13.33
44,-123.49,13.94
44.29,-123.58,14.23
44.57,-123.67,13.85
44.86,-123.76,14.24
45.14,-123.85,14.62
35.62,-120.86,3.93
35.9,-120.92,6.22
36.17,-120.99,2.59
36.45,-121.06,5.6
36.73,-121.12,4.33
37.01,-121.19,4.22
37.29,-121.26,2.07
37.57,-121.33,2.65
37.85,-121.39,1.82
38.13,-121.46,2.94
38.42,-121.53,4.31
38.7,-121.6,5.68
38.98,-121.68,3.05
39.26,-121.75,2.18
39.54,-121.82,3.19
39.82,-121.9,4.57
40.11,-121.97,3.96
40.39,-122.05,2.79
40.67,-122.12,10.51
40.95,-122.2,12.52
41.23,-122.28,12.2
41.52,-122.35,8.79
41.8,-122.43,9.96
42.08,-122.51,10.37
42.37,-122.59,12
42.65,-122.67,11.63
42.93,-122.76,12.95
43.22,-122.84,13.26
43.5,-122.92,14.17
43.78,-123.01,14
44.07,-123.09,13.95
44.35,-123.18,13.6
44.64,-123.27,12.74
44.92,-123.36,12.83
45.2,-123.45,13.51
45.49,-123.54,14.13
45.77,-123.63,14.41
46.05,-123.72,14.3
46.34,-123.82,14.31
46.62,-123.91,14.17
47.19,-124.1,14.57
47.48,-124.2,14.37
48.04,-124.4,14.53
48.33,-124.5,8.22
34.55,-120.27,4.87
34.83,-120.33,6.85
35.11,-120.39,6.43
35.39,-120.45,3.39
35.67,-120.52,5.15
35.95,-120.58,3.26
36.23,-120.64,3.01
36.51,-120.71,6.68
36.79,-120.77,3.73
37.07,-120.84,0.84
37.35,-120.9,1.53
37.63,-120.97,2.23
37.91,-121.04,2.92
38.19,-121.11,3.7
38.47,-121.17,2.46
38.75,-121.24,3.33
39.03,-121.31,3.73
39.32,-121.38,4.44
39.6,-121.46,7.68
39.88,-121.53,7.46
40.16,-121.6,12.97
40.44,-121.67,11.52
40.73,-121.75,13.04
41.01,-121.82,12.3
41.29,-121.9,11.79
41.58,-121.98,11.35
41.86,-122.05,10.06
42.14,-122.13,11.12
42.43,-122.21,11.49
42.71,-122.29,11.12
42.99,-122.37,11.47
43.28,-122.45,11.21
43.56,-122.53,13.09
43.84,-122.62,14.1
44.13,-122.7,13.84
44.41,-122.78,13.65
44.7,-122.87,13.5
44.98,-122.96,13.43
45.27,-123.04,12.78
45.55,-123.13,13.4
45.83,-123.22,14.18
46.12,-123.31,14.23
46.4,-123.4,13.91
46.69,-123.5,13.87
46.97,-123.59,13.91
47.26,-123.68,13.37
47.54,-123.78,13.43
